[dino] N=500 seed=0 M=16 lambda=0.0 warmup=0 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0155 | dino 1.0012 | test 1.0002 | nv 0.9964
  epoch  10 | lam 0.000 | fwd 0.5102 | dino 1.0658 | test 0.5180 | nv 0.2559
  epoch  20 | lam 0.000 | fwd 0.2562 | dino 1.4313 | test 0.2774 | nv 0.1064
  epoch  30 | lam 0.000 | fwd 0.1656 | dino 1.5943 | test 0.2016 | nv 0.0723
  epoch  40 | lam 0.000 | fwd 0.1252 | dino 1.5459 | test 0.1554 | nv 0.0571
  epoch  50 | lam 0.000 | fwd 0.1049 | dino 1.5136 | test 0.1345 | nv 0.0500
  epoch  60 | lam 0.000 | fwd 0.0920 | dino 1.5025 | test 0.1224 | nv 0.0472
  epoch  70 | lam 0.000 | fwd 0.0837 | dino 1.4668 | test 0.1114 | nv 0.0429
  epoch  80 | lam 0.000 | fwd 0.0750 | dino 1.4309 | test 0.1015 | nv 0.0397
  epoch  90 | lam 0.000 | fwd 0.0707 | dino 1.4117 | test 0.0999 | nv 0.0363
  epoch 100 | lam 0.000 | fwd 0.0634 | dino 1.3571 | test 0.0897 | nv 0.0327
  epoch 110 | lam 0.000 | fwd 0.0593 | dino 1.3505 | test 0.0872 | nv 0.0316
  epoch 120 | lam 0.000 | fwd 0.0565 | dino 1.3485 | test 0.0836 | nv 0.0295
  epoch 130 | lam 0.000 | fwd 0.0552 | dino 1.3414 | test 0.0814 | nv 0.0301
  epoch 140 | lam 0.000 | fwd 0.0534 | dino 1.3262 | test 0.0809 | nv 0.0288
  epoch 150 | lam 0.000 | fwd 0.0514 | dino 1.2886 | test 0.0785 | nv 0.0283
  epoch 160 | lam 0.000 | fwd 0.0518 | dino 1.2736 | test 0.0774 | nv 0.0266
  epoch 170 | lam 0.000 | fwd 0.0483 | dino 1.2491 | test 0.0760 | nv 0.0270
  epoch 180 | lam 0.000 | fwd 0.0498 | dino 1.2644 | test 0.0743 | nv 0.0252
  epoch 190 | lam 0.000 | fwd 0.0463 | dino 1.2407 | test 0.0736 | nv 0.0262
  epoch 200 | lam 0.000 | fwd 0.0444 | dino 1.2453 | test 0.0709 | nv 0.0258
  epoch 210 | lam 0.000 | fwd 0.0428 | dino 1.2536 | test 0.0696 | nv 0.0244
  epoch 220 | lam 0.000 | fwd 0.0419 | dino 1.2136 | test 0.0687 | nv 0.0239
  epoch 230 | lam 0.000 | fwd 0.0414 | dino 1.2263 | test 0.0689 | nv 0.0243
  epoch 240 | lam 0.000 | fwd 0.0412 | dino 1.2193 | test 0.0676 | nv 0.0239
  epoch 250 | lam 0.000 | fwd 0.0414 | dino 1.2039 | test 0.0691 | nv 0.0247
  epoch 260 | lam 0.000 | fwd 0.0397 | dino 1.1961 | test 0.0663 | nv 0.0226
  epoch 270 | lam 0.000 | fwd 0.0396 | dino 1.1924 | test 0.0665 | nv 0.0236
  epoch 280 | lam 0.000 | fwd 0.0389 | dino 1.1758 | test 0.0654 | nv 0.0226
  epoch 290 | lam 0.000 | fwd 0.0390 | dino 1.1609 | test 0.0651 | nv 0.0230
  epoch 300 | lam 0.000 | fwd 0.0374 | dino 1.1693 | test 0.0640 | nv 0.0225
  epoch 310 | lam 0.000 | fwd 0.0369 | dino 1.1706 | test 0.0638 | nv 0.0225
  epoch 320 | lam 0.000 | fwd 0.0366 | dino 1.1559 | test 0.0633 | nv 0.0223
  epoch 330 | lam 0.000 | fwd 0.0365 | dino 1.1667 | test 0.0632 | nv 0.0223
  epoch 340 | lam 0.000 | fwd 0.0355 | dino 1.1458 | test 0.0631 | nv 0.0218
  epoch 350 | lam 0.000 | fwd 0.0360 | dino 1.1594 | test 0.0629 | nv 0.0223
  epoch 360 | lam 0.000 | fwd 0.0361 | dino 1.1456 | test 0.0621 | nv 0.0217
  epoch 370 | lam 0.000 | fwd 0.0355 | dino 1.1328 | test 0.0620 | nv 0.0220
  epoch 380 | lam 0.000 | fwd 0.0354 | dino 1.1408 | test 0.0629 | nv 0.0218
  epoch 390 | lam 0.000 | fwd 0.0348 | dino 1.1296 | test 0.0619 | nv 0.0214
  epoch 400 | lam 0.000 | fwd 0.0339 | dino 1.1305 | test 0.0611 | nv 0.0215
  epoch 410 | lam 0.000 | fwd 0.0341 | dino 1.1161 | test 0.0609 | nv 0.0214
  epoch 420 | lam 0.000 | fwd 0.0337 | dino 1.1289 | test 0.0609 | nv 0.0210
  epoch 430 | lam 0.000 | fwd 0.0340 | dino 1.1285 | test 0.0607 | nv 0.0214
  epoch 440 | lam 0.000 | fwd 0.0335 | dino 1.1155 | test 0.0605 | nv 0.0215
  epoch 450 | lam 0.000 | fwd 0.0335 | dino 1.1476 | test 0.0605 | nv 0.0211
  epoch 460 | lam 0.000 | fwd 0.0333 | dino 1.1196 | test 0.0604 | nv 0.0210
  epoch 470 | lam 0.000 | fwd 0.0333 | dino 1.1251 | test 0.0602 | nv 0.0210
  epoch 480 | lam 0.000 | fwd 0.0332 | dino 1.1198 | test 0.0600 | nv 0.0213
  epoch 490 | lam 0.000 | fwd 0.0332 | dino 1.1290 | test 0.0605 | nv 0.0214
  done. test rel-L2: 0.0598 | nv: 0.0207
