[dino] N=500 seed=1 M=16 lambda=0.1 warmup=50 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0010 | dino 0.9566 | test 0.9966 | nv 0.9966
  epoch  10 | lam 0.020 | fwd 0.5226 | dino 0.9629 | test 0.5291 | nv 0.2885
  epoch  20 | lam 0.040 | fwd 0.2616 | dino 0.7992 | test 0.2743 | nv 0.1126
  epoch  30 | lam 0.060 | fwd 0.1761 | dino 0.5386 | test 0.2034 | nv 0.0787
  epoch  40 | lam 0.080 | fwd 0.1287 | dino 0.3819 | test 0.1541 | nv 0.0613
  epoch  50 | lam 0.100 | fwd 0.1076 | dino 0.2796 | test 0.1285 | nv 0.0509
  epoch  60 | lam 0.100 | fwd 0.0964 | dino 0.2077 | test 0.1140 | nv 0.0443
  epoch  70 | lam 0.100 | fwd 0.0836 | dino 0.1646 | test 0.1037 | nv 0.0399
  epoch  80 | lam 0.100 | fwd 0.0772 | dino 0.1404 | test 0.1007 | nv 0.0364
  epoch  90 | lam 0.100 | fwd 0.0748 | dino 0.1144 | test 0.0978 | nv 0.0370
  epoch 100 | lam 0.100 | fwd 0.0644 | dino 0.0990 | test 0.0866 | nv 0.0326
  epoch 110 | lam 0.100 | fwd 0.0572 | dino 0.0946 | test 0.0789 | nv 0.0307
  epoch 120 | lam 0.100 | fwd 0.0561 | dino 0.0908 | test 0.0790 | nv 0.0307
  epoch 130 | lam 0.100 | fwd 0.0522 | dino 0.0839 | test 0.0759 | nv 0.0289
  epoch 140 | lam 0.100 | fwd 0.0511 | dino 0.0800 | test 0.0740 | nv 0.0288
  epoch 150 | lam 0.100 | fwd 0.0494 | dino 0.0790 | test 0.0737 | nv 0.0292
  epoch 160 | lam 0.100 | fwd 0.0488 | dino 0.0728 | test 0.0725 | nv 0.0271
  epoch 170 | lam 0.100 | fwd 0.0478 | dino 0.0679 | test 0.0702 | nv 0.0276
  epoch 180 | lam 0.100 | fwd 0.0451 | dino 0.0674 | test 0.0678 | nv 0.0250
  epoch 190 | lam 0.100 | fwd 0.0457 | dino 0.0631 | test 0.0657 | nv 0.0252
  epoch 200 | lam 0.100 | fwd 0.0423 | dino 0.0618 | test 0.0638 | nv 0.0243
  epoch 210 | lam 0.100 | fwd 0.0409 | dino 0.0618 | test 0.0623 | nv 0.0240
  epoch 220 | lam 0.100 | fwd 0.0406 | dino 0.0588 | test 0.0633 | nv 0.0246
  epoch 230 | lam 0.100 | fwd 0.0398 | dino 0.0615 | test 0.0615 | nv 0.0226
  epoch 240 | lam 0.100 | fwd 0.0385 | dino 0.0586 | test 0.0625 | nv 0.0244
  epoch 250 | lam 0.100 | fwd 0.0391 | dino 0.0588 | test 0.0607 | nv 0.0226
  epoch 260 | lam 0.100 | fwd 0.0380 | dino 0.0568 | test 0.0602 | nv 0.0233
  epoch 270 | lam 0.100 | fwd 0.0386 | dino 0.0559 | test 0.0598 | nv 0.0220
  epoch 280 | lam 0.100 | fwd 0.0375 | dino 0.0522 | test 0.0593 | nv 0.0234
  epoch 290 | lam 0.100 | fwd 0.0369 | dino 0.0540 | test 0.0584 | nv 0.0215
  epoch 300 | lam 0.100 | fwd 0.0360 | dino 0.0533 | test 0.0576 | nv 0.0213
  epoch 310 | lam 0.100 | fwd 0.0348 | dino 0.0529 | test 0.0571 | nv 0.0212
  epoch 320 | lam 0.100 | fwd 0.0347 | dino 0.0521 | test 0.0565 | nv 0.0217
  epoch 330 | lam 0.100 | fwd 0.0341 | dino 0.0514 | test 0.0563 | nv 0.0217
  epoch 340 | lam 0.100 | fwd 0.0341 | dino 0.0512 | test 0.0562 | nv 0.0213
  epoch 350 | lam 0.100 | fwd 0.0340 | dino 0.0511 | test 0.0563 | nv 0.0212
  epoch 360 | lam 0.100 | fwd 0.0337 | dino 0.0502 | test 0.0559 | nv 0.0206
  epoch 370 | lam 0.100 | fwd 0.0336 | dino 0.0516 | test 0.0558 | nv 0.0205
  epoch 380 | lam 0.100 | fwd 0.0336 | dino 0.0484 | test 0.0564 | nv 0.0221
  epoch 390 | lam 0.100 | fwd 0.0326 | dino 0.0473 | test 0.0551 | nv 0.0211
  epoch 400 | lam 0.100 | fwd 0.0323 | dino 0.0492 | test 0.0544 | nv 0.0203
  epoch 410 | lam 0.100 | fwd 0.0318 | dino 0.0473 | test 0.0543 | nv 0.0207
  epoch 420 | lam 0.100 | fwd 0.0319 | dino 0.0488 | test 0.0542 | nv 0.0206
  epoch 430 | lam 0.100 | fwd 0.0322 | dino 0.0478 | test 0.0541 | nv 0.0200
  epoch 440 | lam 0.100 | fwd 0.0321 | dino 0.0467 | test 0.0540 | nv 0.0205
  epoch 450 | lam 0.100 | fwd 0.0320 | dino 0.0452 | test 0.0545 | nv 0.0200
  epoch 460 | lam 0.100 | fwd 0.0318 | dino 0.0479 | test 0.0536 | nv 0.0199
  epoch 470 | lam 0.100 | fwd 0.0317 | dino 0.0474 | test 0.0536 | nv 0.0202
  epoch 480 | lam 0.100 | fwd 0.0316 | dino 0.0498 | test 0.0532 | nv 0.0201
  epoch 490 | lam 0.100 | fwd 0.0315 | dino 0.0452 | test 0.0532 | nv 0.0203
  done. test rel-L2: 0.0531 | nv: 0.0199
