[dino] N=500 seed=1 M=16 lambda=0.0 warmup=0 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0010 | dino 0.9566 | test 0.9966 | nv 0.9966
  epoch  10 | lam 0.000 | fwd 0.5258 | dino 1.0602 | test 0.5337 | nv 0.2896
  epoch  20 | lam 0.000 | fwd 0.2696 | dino 1.4050 | test 0.2766 | nv 0.1141
  epoch  30 | lam 0.000 | fwd 0.1814 | dino 1.4231 | test 0.2095 | nv 0.0795
  epoch  40 | lam 0.000 | fwd 0.1305 | dino 1.4464 | test 0.1631 | nv 0.0644
  epoch  50 | lam 0.000 | fwd 0.1149 | dino 1.4239 | test 0.1346 | nv 0.0528
  epoch  60 | lam 0.000 | fwd 0.1038 | dino 1.3670 | test 0.1264 | nv 0.0488
  epoch  70 | lam 0.000 | fwd 0.0870 | dino 1.3338 | test 0.1198 | nv 0.0439
  epoch  80 | lam 0.000 | fwd 0.0826 | dino 1.3082 | test 0.1108 | nv 0.0410
  epoch  90 | lam 0.000 | fwd 0.0783 | dino 1.2453 | test 0.1000 | nv 0.0378
  epoch 100 | lam 0.000 | fwd 0.0645 | dino 1.2325 | test 0.0931 | nv 0.0354
  epoch 110 | lam 0.000 | fwd 0.0608 | dino 1.2328 | test 0.0886 | nv 0.0341
  epoch 120 | lam 0.000 | fwd 0.0593 | dino 1.1976 | test 0.0872 | nv 0.0343
  epoch 130 | lam 0.000 | fwd 0.0551 | dino 1.2016 | test 0.0838 | nv 0.0325
  epoch 140 | lam 0.000 | fwd 0.0555 | dino 1.1647 | test 0.0819 | nv 0.0322
  epoch 150 | lam 0.000 | fwd 0.0527 | dino 1.1755 | test 0.0807 | nv 0.0327
  epoch 160 | lam 0.000 | fwd 0.0516 | dino 1.1477 | test 0.0803 | nv 0.0304
  epoch 170 | lam 0.000 | fwd 0.0505 | dino 1.1409 | test 0.0777 | nv 0.0299
  epoch 180 | lam 0.000 | fwd 0.0481 | dino 1.1499 | test 0.0751 | nv 0.0278
  epoch 190 | lam 0.000 | fwd 0.0481 | dino 1.1113 | test 0.0739 | nv 0.0289
  epoch 200 | lam 0.000 | fwd 0.0453 | dino 1.1155 | test 0.0721 | nv 0.0276
  epoch 210 | lam 0.000 | fwd 0.0437 | dino 1.1046 | test 0.0703 | nv 0.0269
  epoch 220 | lam 0.000 | fwd 0.0437 | dino 1.0947 | test 0.0712 | nv 0.0274
  epoch 230 | lam 0.000 | fwd 0.0426 | dino 1.1089 | test 0.0693 | nv 0.0261
  epoch 240 | lam 0.000 | fwd 0.0414 | dino 1.0801 | test 0.0704 | nv 0.0280
  epoch 250 | lam 0.000 | fwd 0.0418 | dino 1.0805 | test 0.0686 | nv 0.0256
  epoch 260 | lam 0.000 | fwd 0.0411 | dino 1.0642 | test 0.0680 | nv 0.0262
  epoch 270 | lam 0.000 | fwd 0.0415 | dino 1.0708 | test 0.0678 | nv 0.0255
  epoch 280 | lam 0.000 | fwd 0.0398 | dino 1.0545 | test 0.0666 | nv 0.0262
  epoch 290 | lam 0.000 | fwd 0.0397 | dino 1.0783 | test 0.0666 | nv 0.0247
  epoch 300 | lam 0.000 | fwd 0.0392 | dino 1.0354 | test 0.0661 | nv 0.0246
  epoch 310 | lam 0.000 | fwd 0.0377 | dino 1.0588 | test 0.0650 | nv 0.0247
  epoch 320 | lam 0.000 | fwd 0.0373 | dino 1.0538 | test 0.0642 | nv 0.0247
  epoch 330 | lam 0.000 | fwd 0.0370 | dino 1.0571 | test 0.0642 | nv 0.0246
  epoch 340 | lam 0.000 | fwd 0.0368 | dino 1.0580 | test 0.0638 | nv 0.0246
  epoch 350 | lam 0.000 | fwd 0.0370 | dino 1.0529 | test 0.0641 | nv 0.0242
  epoch 360 | lam 0.000 | fwd 0.0364 | dino 1.0241 | test 0.0639 | nv 0.0240
  epoch 370 | lam 0.000 | fwd 0.0362 | dino 1.0436 | test 0.0635 | nv 0.0239
  epoch 380 | lam 0.000 | fwd 0.0364 | dino 1.0160 | test 0.0634 | nv 0.0251
  epoch 390 | lam 0.000 | fwd 0.0351 | dino 1.0168 | test 0.0626 | nv 0.0241
  epoch 400 | lam 0.000 | fwd 0.0352 | dino 1.0322 | test 0.0622 | nv 0.0234
  epoch 410 | lam 0.000 | fwd 0.0347 | dino 1.0109 | test 0.0621 | nv 0.0237
  epoch 420 | lam 0.000 | fwd 0.0349 | dino 1.0227 | test 0.0620 | nv 0.0236
  epoch 430 | lam 0.000 | fwd 0.0350 | dino 1.0316 | test 0.0619 | nv 0.0233
  epoch 440 | lam 0.000 | fwd 0.0348 | dino 1.0186 | test 0.0617 | nv 0.0234
  epoch 450 | lam 0.000 | fwd 0.0347 | dino 1.0116 | test 0.0621 | nv 0.0229
  epoch 460 | lam 0.000 | fwd 0.0345 | dino 1.0028 | test 0.0613 | nv 0.0229
  epoch 470 | lam 0.000 | fwd 0.0344 | dino 1.0200 | test 0.0612 | nv 0.0230
  epoch 480 | lam 0.000 | fwd 0.0344 | dino 1.0221 | test 0.0609 | nv 0.0230
  epoch 490 | lam 0.000 | fwd 0.0344 | dino 1.0279 | test 0.0610 | nv 0.0234
  done. test rel-L2: 0.0609 | nv: 0.0229
