[dino] N=250 seed=0 M=16 lambda=0.1 warmup=50 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0229 | dino 0.9511 | test 1.0147 | nv 0.9757
  epoch  10 | lam 0.020 | fwd 0.8982 | dino 0.9867 | test 0.9022 | nv 0.8942
  epoch  20 | lam 0.040 | fwd 0.5313 | dino 0.8277 | test 0.5574 | nv 0.3156
  epoch  30 | lam 0.060 | fwd 0.3463 | dino 0.8397 | test 0.3797 | nv 0.1725
  epoch  40 | lam 0.080 | fwd 0.2584 | dino 0.6447 | test 0.3005 | nv 0.1191
  epoch  50 | lam 0.100 | fwd 0.1975 | dino 0.5091 | test 0.2396 | nv 0.0887
  epoch  60 | lam 0.100 | fwd 0.1619 | dino 0.3906 | test 0.2002 | nv 0.0798
  epoch  70 | lam 0.100 | fwd 0.1482 | dino 0.3402 | test 0.1902 | nv 0.0731
  epoch  80 | lam 0.100 | fwd 0.1176 | dino 0.2720 | test 0.1613 | nv 0.0581
  epoch  90 | lam 0.100 | fwd 0.1160 | dino 0.2484 | test 0.1519 | nv 0.0574
  epoch 100 | lam 0.100 | fwd 0.1002 | dino 0.2260 | test 0.1382 | nv 0.0523
  epoch 110 | lam 0.100 | fwd 0.0870 | dino 0.2030 | test 0.1292 | nv 0.0442
  epoch 120 | lam 0.100 | fwd 0.0823 | dino 0.1961 | test 0.1253 | nv 0.0425
  epoch 130 | lam 0.100 | fwd 0.0799 | dino 0.1868 | test 0.1218 | nv 0.0429
  epoch 140 | lam 0.100 | fwd 0.0755 | dino 0.1711 | test 0.1180 | nv 0.0415
  epoch 150 | lam 0.100 | fwd 0.0721 | dino 0.1580 | test 0.1138 | nv 0.0399
  epoch 160 | lam 0.100 | fwd 0.0688 | dino 0.1474 | test 0.1112 | nv 0.0401
  epoch 170 | lam 0.100 | fwd 0.0665 | dino 0.1392 | test 0.1083 | nv 0.0368
  epoch 180 | lam 0.100 | fwd 0.0634 | dino 0.1352 | test 0.1044 | nv 0.0373
  epoch 190 | lam 0.100 | fwd 0.0640 | dino 0.1349 | test 0.1030 | nv 0.0359
  epoch 200 | lam 0.100 | fwd 0.0609 | dino 0.1261 | test 0.1004 | nv 0.0349
  epoch 210 | lam 0.100 | fwd 0.0570 | dino 0.1320 | test 0.0984 | nv 0.0338
  epoch 220 | lam 0.100 | fwd 0.0557 | dino 0.1192 | test 0.0973 | nv 0.0335
  epoch 230 | lam 0.100 | fwd 0.0554 | dino 0.1238 | test 0.0967 | nv 0.0330
  epoch 240 | lam 0.100 | fwd 0.0538 | dino 0.1235 | test 0.0952 | nv 0.0330
  epoch 250 | lam 0.100 | fwd 0.0519 | dino 0.1082 | test 0.0942 | nv 0.0329
  epoch 260 | lam 0.100 | fwd 0.0518 | dino 0.1118 | test 0.0929 | nv 0.0318
  epoch 270 | lam 0.100 | fwd 0.0517 | dino 0.1069 | test 0.0927 | nv 0.0321
  epoch 280 | lam 0.100 | fwd 0.0509 | dino 0.1030 | test 0.0918 | nv 0.0316
  epoch 290 | lam 0.100 | fwd 0.0491 | dino 0.1044 | test 0.0909 | nv 0.0314
  epoch 300 | lam 0.100 | fwd 0.0485 | dino 0.1001 | test 0.0902 | nv 0.0311
  epoch 310 | lam 0.100 | fwd 0.0478 | dino 0.1004 | test 0.0900 | nv 0.0311
  epoch 320 | lam 0.100 | fwd 0.0486 | dino 0.0977 | test 0.0889 | nv 0.0312
  epoch 330 | lam 0.100 | fwd 0.0476 | dino 0.0948 | test 0.0884 | nv 0.0306
  epoch 340 | lam 0.100 | fwd 0.0460 | dino 0.0948 | test 0.0879 | nv 0.0307
  epoch 350 | lam 0.100 | fwd 0.0456 | dino 0.0932 | test 0.0876 | nv 0.0299
  epoch 360 | lam 0.100 | fwd 0.0463 | dino 0.0934 | test 0.0876 | nv 0.0304
  epoch 370 | lam 0.100 | fwd 0.0457 | dino 0.0953 | test 0.0871 | nv 0.0299
  epoch 380 | lam 0.100 | fwd 0.0436 | dino 0.0908 | test 0.0865 | nv 0.0303
  epoch 390 | lam 0.100 | fwd 0.0451 | dino 0.0931 | test 0.0867 | nv 0.0303
  epoch 400 | lam 0.100 | fwd 0.0430 | dino 0.0891 | test 0.0858 | nv 0.0295
  epoch 410 | lam 0.100 | fwd 0.0446 | dino 0.0934 | test 0.0855 | nv 0.0295
  epoch 420 | lam 0.100 | fwd 0.0436 | dino 0.0915 | test 0.0853 | nv 0.0293
  epoch 430 | lam 0.100 | fwd 0.0435 | dino 0.0955 | test 0.0851 | nv 0.0296
  epoch 440 | lam 0.100 | fwd 0.0429 | dino 0.0909 | test 0.0852 | nv 0.0297
  epoch 450 | lam 0.100 | fwd 0.0431 | dino 0.0923 | test 0.0849 | nv 0.0294
  epoch 460 | lam 0.100 | fwd 0.0437 | dino 0.0892 | test 0.0850 | nv 0.0293
  epoch 470 | lam 0.100 | fwd 0.0437 | dino 0.0948 | test 0.0843 | nv 0.0293
  epoch 480 | lam 0.100 | fwd 0.0416 | dino 0.0868 | test 0.0844 | nv 0.0293
  epoch 490 | lam 0.100 | fwd 0.0435 | dino 0.0940 | test 0.0845 | nv 0.0291
  done. test rel-L2: 0.0840 | nv: 0.0290
