[dino] N=250 seed=1 M=16 lambda=0.0 warmup=0 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0054 | dino 0.9296 | test 0.9999 | nv 0.9959
  epoch  10 | lam 0.000 | fwd 0.8707 | dino 1.1241 | test 0.8622 | nv 0.8153
  epoch  20 | lam 0.000 | fwd 0.5148 | dino 1.0456 | test 0.5539 | nv 0.2969
  epoch  30 | lam 0.000 | fwd 0.3459 | dino 1.3002 | test 0.3799 | nv 0.1722
  epoch  40 | lam 0.000 | fwd 0.2496 | dino 1.3837 | test 0.3013 | nv 0.1174
  epoch  50 | lam 0.000 | fwd 0.2012 | dino 1.4278 | test 0.2560 | nv 0.0950
  epoch  60 | lam 0.000 | fwd 0.1749 | dino 1.4128 | test 0.2272 | nv 0.0855
  epoch  70 | lam 0.000 | fwd 0.1492 | dino 1.4125 | test 0.2066 | nv 0.0804
  epoch  80 | lam 0.000 | fwd 0.1318 | dino 1.4519 | test 0.1902 | nv 0.0737
  epoch  90 | lam 0.000 | fwd 0.1201 | dino 1.4165 | test 0.1777 | nv 0.0717
  epoch 100 | lam 0.000 | fwd 0.1126 | dino 1.4066 | test 0.1626 | nv 0.0671
  epoch 110 | lam 0.000 | fwd 0.0998 | dino 1.4261 | test 0.1581 | nv 0.0633
  epoch 120 | lam 0.000 | fwd 0.0920 | dino 1.4139 | test 0.1532 | nv 0.0605
  epoch 130 | lam 0.000 | fwd 0.0885 | dino 1.4031 | test 0.1481 | nv 0.0575
  epoch 140 | lam 0.000 | fwd 0.0854 | dino 1.3733 | test 0.1444 | nv 0.0585
  epoch 150 | lam 0.000 | fwd 0.0821 | dino 1.4403 | test 0.1450 | nv 0.0560
  epoch 160 | lam 0.000 | fwd 0.0800 | dino 1.3716 | test 0.1391 | nv 0.0549
  epoch 170 | lam 0.000 | fwd 0.0755 | dino 1.3552 | test 0.1346 | nv 0.0530
  epoch 180 | lam 0.000 | fwd 0.0758 | dino 1.3775 | test 0.1336 | nv 0.0524
  epoch 190 | lam 0.000 | fwd 0.0710 | dino 1.3473 | test 0.1306 | nv 0.0504
  epoch 200 | lam 0.000 | fwd 0.0680 | dino 1.3534 | test 0.1274 | nv 0.0498
  epoch 210 | lam 0.000 | fwd 0.0642 | dino 1.3496 | test 0.1263 | nv 0.0501
  epoch 220 | lam 0.000 | fwd 0.0643 | dino 1.3229 | test 0.1253 | nv 0.0497
  epoch 230 | lam 0.000 | fwd 0.0641 | dino 1.3609 | test 0.1245 | nv 0.0496
  epoch 240 | lam 0.000 | fwd 0.0614 | dino 1.3251 | test 0.1241 | nv 0.0491
  epoch 250 | lam 0.000 | fwd 0.0624 | dino 1.3497 | test 0.1228 | nv 0.0483
  epoch 260 | lam 0.000 | fwd 0.0613 | dino 1.3011 | test 0.1215 | nv 0.0475
  epoch 270 | lam 0.000 | fwd 0.0604 | dino 1.3117 | test 0.1206 | nv 0.0480
  epoch 280 | lam 0.000 | fwd 0.0589 | dino 1.2965 | test 0.1197 | nv 0.0470
  epoch 290 | lam 0.000 | fwd 0.0592 | dino 1.3158 | test 0.1189 | nv 0.0468
  epoch 300 | lam 0.000 | fwd 0.0558 | dino 1.3280 | test 0.1181 | nv 0.0456
  epoch 310 | lam 0.000 | fwd 0.0568 | dino 1.3313 | test 0.1173 | nv 0.0456
  epoch 320 | lam 0.000 | fwd 0.0566 | dino 1.3093 | test 0.1170 | nv 0.0452
  epoch 330 | lam 0.000 | fwd 0.0553 | dino 1.3217 | test 0.1166 | nv 0.0450
  epoch 340 | lam 0.000 | fwd 0.0543 | dino 1.3038 | test 0.1160 | nv 0.0458
  epoch 350 | lam 0.000 | fwd 0.0540 | dino 1.3183 | test 0.1153 | nv 0.0450
  epoch 360 | lam 0.000 | fwd 0.0547 | dino 1.2779 | test 0.1154 | nv 0.0449
  epoch 370 | lam 0.000 | fwd 0.0530 | dino 1.2992 | test 0.1153 | nv 0.0438
  epoch 380 | lam 0.000 | fwd 0.0534 | dino 1.2718 | test 0.1145 | nv 0.0449
  epoch 390 | lam 0.000 | fwd 0.0512 | dino 1.2727 | test 0.1140 | nv 0.0446
  epoch 400 | lam 0.000 | fwd 0.0513 | dino 1.3104 | test 0.1135 | nv 0.0438
  epoch 410 | lam 0.000 | fwd 0.0518 | dino 1.2808 | test 0.1134 | nv 0.0435
  epoch 420 | lam 0.000 | fwd 0.0518 | dino 1.3022 | test 0.1131 | nv 0.0441
  epoch 430 | lam 0.000 | fwd 0.0491 | dino 1.3319 | test 0.1130 | nv 0.0434
  epoch 440 | lam 0.000 | fwd 0.0511 | dino 1.2898 | test 0.1130 | nv 0.0434
  epoch 450 | lam 0.000 | fwd 0.0508 | dino 1.2856 | test 0.1125 | nv 0.0433
  epoch 460 | lam 0.000 | fwd 0.0514 | dino 1.2656 | test 0.1125 | nv 0.0432
  epoch 470 | lam 0.000 | fwd 0.0503 | dino 1.2752 | test 0.1123 | nv 0.0437
  epoch 480 | lam 0.000 | fwd 0.0512 | dino 1.2976 | test 0.1119 | nv 0.0432
  epoch 490 | lam 0.000 | fwd 0.0506 | dino 1.2896 | test 0.1118 | nv 0.0436
  done. test rel-L2: 0.1118 | nv: 0.0426
