[dino] N=1000 seed=2 M=16 lambda=0.0 warmup=0 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0012 | dino 0.9700 | test 0.9939 | nv 0.9878
  epoch  10 | lam 0.000 | fwd 0.2843 | dino 1.2561 | test 0.2900 | nv 0.1039
  epoch  20 | lam 0.000 | fwd 0.1432 | dino 1.2326 | test 0.1584 | nv 0.0566
  epoch  30 | lam 0.000 | fwd 0.1037 | dino 1.1994 | test 0.1127 | nv 0.0390
  epoch  40 | lam 0.000 | fwd 0.0818 | dino 1.1936 | test 0.0950 | nv 0.0364
  epoch  50 | lam 0.000 | fwd 0.0727 | dino 1.1828 | test 0.0814 | nv 0.0283
  epoch  60 | lam 0.000 | fwd 0.0666 | dino 1.1349 | test 0.0738 | nv 0.0259
  epoch  70 | lam 0.000 | fwd 0.0592 | dino 1.1119 | test 0.0687 | nv 0.0235
  epoch  80 | lam 0.000 | fwd 0.0538 | dino 1.0865 | test 0.0641 | nv 0.0211
  epoch  90 | lam 0.000 | fwd 0.0502 | dino 1.0492 | test 0.0603 | nv 0.0214
  epoch 100 | lam 0.000 | fwd 0.0426 | dino 1.0098 | test 0.0534 | nv 0.0188
  epoch 110 | lam 0.000 | fwd 0.0414 | dino 1.0103 | test 0.0525 | nv 0.0175
  epoch 120 | lam 0.000 | fwd 0.0391 | dino 0.9917 | test 0.0530 | nv 0.0178
  epoch 130 | lam 0.000 | fwd 0.0369 | dino 0.9605 | test 0.0492 | nv 0.0163
  epoch 140 | lam 0.000 | fwd 0.0367 | dino 0.9486 | test 0.0504 | nv 0.0170
  epoch 150 | lam 0.000 | fwd 0.0354 | dino 0.9145 | test 0.0474 | nv 0.0163
  epoch 160 | lam 0.000 | fwd 0.0341 | dino 0.9038 | test 0.0454 | nv 0.0153
  epoch 170 | lam 0.000 | fwd 0.0332 | dino 0.8894 | test 0.0440 | nv 0.0150
  epoch 180 | lam 0.000 | fwd 0.0329 | dino 0.8796 | test 0.0438 | nv 0.0152
  epoch 190 | lam 0.000 | fwd 0.0324 | dino 0.8627 | test 0.0449 | nv 0.0158
  epoch 200 | lam 0.000 | fwd 0.0291 | dino 0.8473 | test 0.0402 | nv 0.0139
  epoch 210 | lam 0.000 | fwd 0.0283 | dino 0.8252 | test 0.0402 | nv 0.0143
  epoch 220 | lam 0.000 | fwd 0.0280 | dino 0.8206 | test 0.0391 | nv 0.0133
  epoch 230 | lam 0.000 | fwd 0.0284 | dino 0.8150 | test 0.0389 | nv 0.0132
  epoch 240 | lam 0.000 | fwd 0.0277 | dino 0.8052 | test 0.0387 | nv 0.0130
  epoch 250 | lam 0.000 | fwd 0.0267 | dino 0.7885 | test 0.0382 | nv 0.0128
  epoch 260 | lam 0.000 | fwd 0.0265 | dino 0.7889 | test 0.0384 | nv 0.0133
  epoch 270 | lam 0.000 | fwd 0.0261 | dino 0.7754 | test 0.0374 | nv 0.0127
  epoch 280 | lam 0.000 | fwd 0.0256 | dino 0.7770 | test 0.0366 | nv 0.0123
  epoch 290 | lam 0.000 | fwd 0.0259 | dino 0.7659 | test 0.0365 | nv 0.0125
  epoch 300 | lam 0.000 | fwd 0.0241 | dino 0.7606 | test 0.0352 | nv 0.0118
  epoch 310 | lam 0.000 | fwd 0.0239 | dino 0.7440 | test 0.0350 | nv 0.0121
  epoch 320 | lam 0.000 | fwd 0.0240 | dino 0.7422 | test 0.0349 | nv 0.0122
  epoch 330 | lam 0.000 | fwd 0.0238 | dino 0.7420 | test 0.0348 | nv 0.0116
  epoch 340 | lam 0.000 | fwd 0.0235 | dino 0.7372 | test 0.0348 | nv 0.0113
  epoch 350 | lam 0.000 | fwd 0.0232 | dino 0.7240 | test 0.0345 | nv 0.0115
  epoch 360 | lam 0.000 | fwd 0.0235 | dino 0.7251 | test 0.0341 | nv 0.0118
  epoch 370 | lam 0.000 | fwd 0.0232 | dino 0.7213 | test 0.0338 | nv 0.0113
  epoch 380 | lam 0.000 | fwd 0.0232 | dino 0.7218 | test 0.0340 | nv 0.0113
  epoch 390 | lam 0.000 | fwd 0.0227 | dino 0.7059 | test 0.0337 | nv 0.0111
  epoch 400 | lam 0.000 | fwd 0.0221 | dino 0.7068 | test 0.0330 | nv 0.0109
  epoch 410 | lam 0.000 | fwd 0.0218 | dino 0.6972 | test 0.0329 | nv 0.0110
  epoch 420 | lam 0.000 | fwd 0.0219 | dino 0.7016 | test 0.0329 | nv 0.0112
  epoch 430 | lam 0.000 | fwd 0.0217 | dino 0.6938 | test 0.0325 | nv 0.0108
  epoch 440 | lam 0.000 | fwd 0.0218 | dino 0.6926 | test 0.0325 | nv 0.0108
  epoch 450 | lam 0.000 | fwd 0.0216 | dino 0.6943 | test 0.0326 | nv 0.0112
  epoch 460 | lam 0.000 | fwd 0.0214 | dino 0.6943 | test 0.0324 | nv 0.0108
  epoch 470 | lam 0.000 | fwd 0.0215 | dino 0.6837 | test 0.0324 | nv 0.0110
  epoch 480 | lam 0.000 | fwd 0.0213 | dino 0.6831 | test 0.0321 | nv 0.0104
  epoch 490 | lam 0.000 | fwd 0.0214 | dino 0.6738 | test 0.0319 | nv 0.0106
  done. test rel-L2: 0.0321 | nv: 0.0108
