[dino] N=250 seed=2 M=16 lambda=0.0 warmup=0 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0127 | dino 0.9503 | test 1.0069 | nv 0.9936
  epoch  10 | lam 0.000 | fwd 0.8747 | dino 1.0433 | test 0.8794 | nv 0.8529
  epoch  20 | lam 0.000 | fwd 0.5273 | dino 1.0642 | test 0.5647 | nv 0.3365
  epoch  30 | lam 0.000 | fwd 0.3621 | dino 1.3251 | test 0.3938 | nv 0.1606
  epoch  40 | lam 0.000 | fwd 0.2677 | dino 1.4468 | test 0.3113 | nv 0.1239
  epoch  50 | lam 0.000 | fwd 0.2174 | dino 1.4260 | test 0.2680 | nv 0.0980
  epoch  60 | lam 0.000 | fwd 0.1920 | dino 1.3734 | test 0.2418 | nv 0.0905
  epoch  70 | lam 0.000 | fwd 0.1577 | dino 1.3995 | test 0.2152 | nv 0.0796
  epoch  80 | lam 0.000 | fwd 0.1370 | dino 1.3893 | test 0.1932 | nv 0.0716
  epoch  90 | lam 0.000 | fwd 0.1256 | dino 1.3916 | test 0.1777 | nv 0.0648
  epoch 100 | lam 0.000 | fwd 0.1040 | dino 1.3639 | test 0.1647 | nv 0.0594
  epoch 110 | lam 0.000 | fwd 0.1030 | dino 1.3667 | test 0.1592 | nv 0.0562
  epoch 120 | lam 0.000 | fwd 0.0937 | dino 1.3786 | test 0.1543 | nv 0.0549
  epoch 130 | lam 0.000 | fwd 0.0931 | dino 1.3919 | test 0.1522 | nv 0.0516
  epoch 140 | lam 0.000 | fwd 0.0857 | dino 1.3834 | test 0.1463 | nv 0.0496
  epoch 150 | lam 0.000 | fwd 0.0839 | dino 1.4060 | test 0.1437 | nv 0.0482
  epoch 160 | lam 0.000 | fwd 0.0787 | dino 1.3837 | test 0.1399 | nv 0.0489
  epoch 170 | lam 0.000 | fwd 0.0756 | dino 1.3659 | test 0.1372 | nv 0.0461
  epoch 180 | lam 0.000 | fwd 0.0780 | dino 1.3801 | test 0.1360 | nv 0.0491
  epoch 190 | lam 0.000 | fwd 0.0746 | dino 1.3973 | test 0.1344 | nv 0.0456
  epoch 200 | lam 0.000 | fwd 0.0695 | dino 1.3948 | test 0.1296 | nv 0.0444
  epoch 210 | lam 0.000 | fwd 0.0654 | dino 1.3652 | test 0.1268 | nv 0.0436
  epoch 220 | lam 0.000 | fwd 0.0633 | dino 1.3501 | test 0.1264 | nv 0.0430
  epoch 230 | lam 0.000 | fwd 0.0642 | dino 1.3841 | test 0.1245 | nv 0.0430
  epoch 240 | lam 0.000 | fwd 0.0633 | dino 1.3625 | test 0.1247 | nv 0.0419
  epoch 250 | lam 0.000 | fwd 0.0626 | dino 1.3729 | test 0.1233 | nv 0.0426
  epoch 260 | lam 0.000 | fwd 0.0610 | dino 1.3785 | test 0.1214 | nv 0.0422
  epoch 270 | lam 0.000 | fwd 0.0596 | dino 1.3919 | test 0.1205 | nv 0.0416
  epoch 280 | lam 0.000 | fwd 0.0593 | dino 1.3719 | test 0.1203 | nv 0.0410
  epoch 290 | lam 0.000 | fwd 0.0581 | dino 1.3838 | test 0.1191 | nv 0.0402
  epoch 300 | lam 0.000 | fwd 0.0563 | dino 1.3877 | test 0.1175 | nv 0.0400
  epoch 310 | lam 0.000 | fwd 0.0551 | dino 1.3554 | test 0.1169 | nv 0.0402
  epoch 320 | lam 0.000 | fwd 0.0542 | dino 1.4151 | test 0.1167 | nv 0.0399
  epoch 330 | lam 0.000 | fwd 0.0527 | dino 1.3876 | test 0.1164 | nv 0.0400
  epoch 340 | lam 0.000 | fwd 0.0555 | dino 1.3572 | test 0.1160 | nv 0.0398
  epoch 350 | lam 0.000 | fwd 0.0545 | dino 1.3680 | test 0.1154 | nv 0.0396
  epoch 360 | lam 0.000 | fwd 0.0550 | dino 1.4061 | test 0.1149 | nv 0.0397
  epoch 370 | lam 0.000 | fwd 0.0541 | dino 1.3322 | test 0.1143 | nv 0.0394
  epoch 380 | lam 0.000 | fwd 0.0544 | dino 1.3457 | test 0.1142 | nv 0.0393
  epoch 390 | lam 0.000 | fwd 0.0516 | dino 1.3657 | test 0.1141 | nv 0.0390
  epoch 400 | lam 0.000 | fwd 0.0512 | dino 1.3804 | test 0.1131 | nv 0.0390
  epoch 410 | lam 0.000 | fwd 0.0519 | dino 1.3714 | test 0.1130 | nv 0.0387
  epoch 420 | lam 0.000 | fwd 0.0516 | dino 1.3658 | test 0.1126 | nv 0.0388
  epoch 430 | lam 0.000 | fwd 0.0518 | dino 1.3792 | test 0.1125 | nv 0.0387
  epoch 440 | lam 0.000 | fwd 0.0506 | dino 1.3751 | test 0.1123 | nv 0.0386
  epoch 450 | lam 0.000 | fwd 0.0496 | dino 1.3987 | test 0.1121 | nv 0.0385
  epoch 460 | lam 0.000 | fwd 0.0512 | dino 1.3940 | test 0.1118 | nv 0.0387
  epoch 470 | lam 0.000 | fwd 0.0502 | dino 1.3672 | test 0.1117 | nv 0.0385
  epoch 480 | lam 0.000 | fwd 0.0500 | dino 1.3686 | test 0.1113 | nv 0.0385
  epoch 490 | lam 0.000 | fwd 0.0494 | dino 1.3163 | test 0.1112 | nv 0.0380
  done. test rel-L2: 0.1110 | nv: 0.0384
