[dino] N=500 seed=2 M=16 lambda=0.0 warmup=0 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0066 | dino 0.9570 | test 0.9979 | nv 0.9993
  epoch  10 | lam 0.000 | fwd 0.4971 | dino 1.0891 | test 0.5044 | nv 0.2676
  epoch  20 | lam 0.000 | fwd 0.2719 | dino 1.4007 | test 0.2853 | nv 0.1034
  epoch  30 | lam 0.000 | fwd 0.1763 | dino 1.3114 | test 0.2039 | nv 0.0704
  epoch  40 | lam 0.000 | fwd 0.1317 | dino 1.2879 | test 0.1605 | nv 0.0526
  epoch  50 | lam 0.000 | fwd 0.1142 | dino 1.2903 | test 0.1467 | nv 0.0526
  epoch  60 | lam 0.000 | fwd 0.0960 | dino 1.2417 | test 0.1193 | nv 0.0382
  epoch  70 | lam 0.000 | fwd 0.0848 | dino 1.2696 | test 0.1126 | nv 0.0379
  epoch  80 | lam 0.000 | fwd 0.0790 | dino 1.2419 | test 0.1114 | nv 0.0391
  epoch  90 | lam 0.000 | fwd 0.0702 | dino 1.2422 | test 0.0954 | nv 0.0317
  epoch 100 | lam 0.000 | fwd 0.0613 | dino 1.1996 | test 0.0897 | nv 0.0287
  epoch 110 | lam 0.000 | fwd 0.0579 | dino 1.2170 | test 0.0847 | nv 0.0276
  epoch 120 | lam 0.000 | fwd 0.0568 | dino 1.2163 | test 0.0834 | nv 0.0286
  epoch 130 | lam 0.000 | fwd 0.0553 | dino 1.2028 | test 0.0812 | nv 0.0275
  epoch 140 | lam 0.000 | fwd 0.0542 | dino 1.1875 | test 0.0819 | nv 0.0277
  epoch 150 | lam 0.000 | fwd 0.0529 | dino 1.1646 | test 0.0787 | nv 0.0271
  epoch 160 | lam 0.000 | fwd 0.0497 | dino 1.1582 | test 0.0768 | nv 0.0260
  epoch 170 | lam 0.000 | fwd 0.0493 | dino 1.1322 | test 0.0775 | nv 0.0257
  epoch 180 | lam 0.000 | fwd 0.0486 | dino 1.1486 | test 0.0734 | nv 0.0240
  epoch 190 | lam 0.000 | fwd 0.0485 | dino 1.1307 | test 0.0724 | nv 0.0248
  epoch 200 | lam 0.000 | fwd 0.0441 | dino 1.1253 | test 0.0694 | nv 0.0227
  epoch 210 | lam 0.000 | fwd 0.0421 | dino 1.1123 | test 0.0684 | nv 0.0228
  epoch 220 | lam 0.000 | fwd 0.0411 | dino 1.1127 | test 0.0684 | nv 0.0226
  epoch 230 | lam 0.000 | fwd 0.0413 | dino 1.1115 | test 0.0671 | nv 0.0219
  epoch 240 | lam 0.000 | fwd 0.0407 | dino 1.0945 | test 0.0665 | nv 0.0218
  epoch 250 | lam 0.000 | fwd 0.0406 | dino 1.0887 | test 0.0673 | nv 0.0228
  epoch 260 | lam 0.000 | fwd 0.0395 | dino 1.0969 | test 0.0651 | nv 0.0209
  epoch 270 | lam 0.000 | fwd 0.0396 | dino 1.0916 | test 0.0647 | nv 0.0208
  epoch 280 | lam 0.000 | fwd 0.0380 | dino 1.0890 | test 0.0645 | nv 0.0212
  epoch 290 | lam 0.000 | fwd 0.0388 | dino 1.0801 | test 0.0639 | nv 0.0210
  epoch 300 | lam 0.000 | fwd 0.0369 | dino 1.0893 | test 0.0631 | nv 0.0206
  epoch 310 | lam 0.000 | fwd 0.0368 | dino 1.0608 | test 0.0624 | nv 0.0205
  epoch 320 | lam 0.000 | fwd 0.0367 | dino 1.0722 | test 0.0622 | nv 0.0205
  epoch 330 | lam 0.000 | fwd 0.0359 | dino 1.0772 | test 0.0617 | nv 0.0205
  epoch 340 | lam 0.000 | fwd 0.0360 | dino 1.0629 | test 0.0616 | nv 0.0202
  epoch 350 | lam 0.000 | fwd 0.0358 | dino 1.0492 | test 0.0620 | nv 0.0206
  epoch 360 | lam 0.000 | fwd 0.0352 | dino 1.0750 | test 0.0610 | nv 0.0202
  epoch 370 | lam 0.000 | fwd 0.0352 | dino 1.0518 | test 0.0609 | nv 0.0198
  epoch 380 | lam 0.000 | fwd 0.0349 | dino 1.0524 | test 0.0605 | nv 0.0199
  epoch 390 | lam 0.000 | fwd 0.0346 | dino 1.0365 | test 0.0600 | nv 0.0200
  epoch 400 | lam 0.000 | fwd 0.0344 | dino 1.0596 | test 0.0599 | nv 0.0200
  epoch 410 | lam 0.000 | fwd 0.0338 | dino 1.0382 | test 0.0593 | nv 0.0196
  epoch 420 | lam 0.000 | fwd 0.0335 | dino 1.0475 | test 0.0596 | nv 0.0198
  epoch 430 | lam 0.000 | fwd 0.0336 | dino 1.0401 | test 0.0591 | nv 0.0195
  epoch 440 | lam 0.000 | fwd 0.0334 | dino 1.0334 | test 0.0589 | nv 0.0197
  epoch 450 | lam 0.000 | fwd 0.0333 | dino 1.0517 | test 0.0590 | nv 0.0194
  epoch 460 | lam 0.000 | fwd 0.0331 | dino 1.0545 | test 0.0590 | nv 0.0194
  epoch 470 | lam 0.000 | fwd 0.0328 | dino 1.0320 | test 0.0588 | nv 0.0195
  epoch 480 | lam 0.000 | fwd 0.0327 | dino 1.0399 | test 0.0586 | nv 0.0196
  epoch 490 | lam 0.000 | fwd 0.0330 | dino 1.0129 | test 0.0585 | nv 0.0194
  done. test rel-L2: 0.0583 | nv: 0.0193
