[dino] N=500 seed=2 M=16 lambda=0.1 warmup=50 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0066 | dino 0.9570 | test 0.9979 | nv 0.9993
  epoch  10 | lam 0.020 | fwd 0.4940 | dino 0.9436 | test 0.5008 | nv 0.2704
  epoch  20 | lam 0.040 | fwd 0.2715 | dino 0.7988 | test 0.2855 | nv 0.1124
  epoch  30 | lam 0.060 | fwd 0.1706 | dino 0.5102 | test 0.1934 | nv 0.0677
  epoch  40 | lam 0.080 | fwd 0.1279 | dino 0.3414 | test 0.1522 | nv 0.0503
  epoch  50 | lam 0.100 | fwd 0.1105 | dino 0.2352 | test 0.1324 | nv 0.0500
  epoch  60 | lam 0.100 | fwd 0.0927 | dino 0.1717 | test 0.1111 | nv 0.0340
  epoch  70 | lam 0.100 | fwd 0.0791 | dino 0.1409 | test 0.1017 | nv 0.0339
  epoch  80 | lam 0.100 | fwd 0.0729 | dino 0.1198 | test 0.0980 | nv 0.0346
  epoch  90 | lam 0.100 | fwd 0.0660 | dino 0.1003 | test 0.0858 | nv 0.0283
  epoch 100 | lam 0.100 | fwd 0.0587 | dino 0.0892 | test 0.0820 | nv 0.0258
  epoch 110 | lam 0.100 | fwd 0.0548 | dino 0.0831 | test 0.0769 | nv 0.0250
  epoch 120 | lam 0.100 | fwd 0.0527 | dino 0.0780 | test 0.0754 | nv 0.0258
  epoch 130 | lam 0.100 | fwd 0.0518 | dino 0.0747 | test 0.0737 | nv 0.0251
  epoch 140 | lam 0.100 | fwd 0.0514 | dino 0.0730 | test 0.0717 | nv 0.0247
  epoch 150 | lam 0.100 | fwd 0.0505 | dino 0.0691 | test 0.0727 | nv 0.0241
  epoch 160 | lam 0.100 | fwd 0.0463 | dino 0.0689 | test 0.0683 | nv 0.0230
  epoch 170 | lam 0.100 | fwd 0.0459 | dino 0.0596 | test 0.0688 | nv 0.0243
  epoch 180 | lam 0.100 | fwd 0.0452 | dino 0.0621 | test 0.0663 | nv 0.0219
  epoch 190 | lam 0.100 | fwd 0.0441 | dino 0.0584 | test 0.0666 | nv 0.0238
  epoch 200 | lam 0.100 | fwd 0.0409 | dino 0.0559 | test 0.0619 | nv 0.0211
  epoch 210 | lam 0.100 | fwd 0.0391 | dino 0.0561 | test 0.0612 | nv 0.0212
  epoch 220 | lam 0.100 | fwd 0.0381 | dino 0.0536 | test 0.0604 | nv 0.0203
  epoch 230 | lam 0.100 | fwd 0.0380 | dino 0.0511 | test 0.0595 | nv 0.0199
  epoch 240 | lam 0.100 | fwd 0.0375 | dino 0.0522 | test 0.0588 | nv 0.0198
  epoch 250 | lam 0.100 | fwd 0.0373 | dino 0.0515 | test 0.0586 | nv 0.0205
  epoch 260 | lam 0.100 | fwd 0.0367 | dino 0.0541 | test 0.0575 | nv 0.0191
  epoch 270 | lam 0.100 | fwd 0.0368 | dino 0.0496 | test 0.0571 | nv 0.0190
  epoch 280 | lam 0.100 | fwd 0.0349 | dino 0.0471 | test 0.0563 | nv 0.0192
  epoch 290 | lam 0.100 | fwd 0.0357 | dino 0.0499 | test 0.0562 | nv 0.0192
  epoch 300 | lam 0.100 | fwd 0.0338 | dino 0.0469 | test 0.0553 | nv 0.0186
  epoch 310 | lam 0.100 | fwd 0.0338 | dino 0.0454 | test 0.0548 | nv 0.0190
  epoch 320 | lam 0.100 | fwd 0.0337 | dino 0.0466 | test 0.0546 | nv 0.0187
  epoch 330 | lam 0.100 | fwd 0.0328 | dino 0.0440 | test 0.0543 | nv 0.0185
  epoch 340 | lam 0.100 | fwd 0.0327 | dino 0.0473 | test 0.0539 | nv 0.0185
  epoch 350 | lam 0.100 | fwd 0.0326 | dino 0.0470 | test 0.0540 | nv 0.0188
  epoch 360 | lam 0.100 | fwd 0.0322 | dino 0.0472 | test 0.0533 | nv 0.0182
  epoch 370 | lam 0.100 | fwd 0.0321 | dino 0.0467 | test 0.0532 | nv 0.0183
  epoch 380 | lam 0.100 | fwd 0.0320 | dino 0.0439 | test 0.0531 | nv 0.0181
  epoch 390 | lam 0.100 | fwd 0.0318 | dino 0.0436 | test 0.0524 | nv 0.0182
  epoch 400 | lam 0.100 | fwd 0.0312 | dino 0.0454 | test 0.0522 | nv 0.0182
  epoch 410 | lam 0.100 | fwd 0.0308 | dino 0.0440 | test 0.0517 | nv 0.0179
  epoch 420 | lam 0.100 | fwd 0.0306 | dino 0.0426 | test 0.0522 | nv 0.0183
  epoch 430 | lam 0.100 | fwd 0.0305 | dino 0.0426 | test 0.0514 | nv 0.0178
  epoch 440 | lam 0.100 | fwd 0.0304 | dino 0.0419 | test 0.0513 | nv 0.0181
  epoch 450 | lam 0.100 | fwd 0.0302 | dino 0.0414 | test 0.0515 | nv 0.0177
  epoch 460 | lam 0.100 | fwd 0.0300 | dino 0.0424 | test 0.0512 | nv 0.0176
  epoch 470 | lam 0.100 | fwd 0.0300 | dino 0.0451 | test 0.0511 | nv 0.0179
  epoch 480 | lam 0.100 | fwd 0.0297 | dino 0.0430 | test 0.0509 | nv 0.0178
  epoch 490 | lam 0.100 | fwd 0.0300 | dino 0.0419 | test 0.0509 | nv 0.0178
  done. test rel-L2: 0.0509 | nv: 0.0175
