[dino] N=500 seed=0 M=16 lambda=0.1 warmup=50 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0155 | dino 1.0012 | test 1.0002 | nv 0.9964
  epoch  10 | lam 0.020 | fwd 0.5056 | dino 0.9200 | test 0.5109 | nv 0.2611
  epoch  20 | lam 0.040 | fwd 0.2548 | dino 0.7721 | test 0.2681 | nv 0.1130
  epoch  30 | lam 0.060 | fwd 0.1660 | dino 0.5273 | test 0.2008 | nv 0.0750
  epoch  40 | lam 0.080 | fwd 0.1258 | dino 0.3569 | test 0.1504 | nv 0.0536
  epoch  50 | lam 0.100 | fwd 0.1017 | dino 0.2555 | test 0.1278 | nv 0.0477
  epoch  60 | lam 0.100 | fwd 0.0887 | dino 0.1859 | test 0.1166 | nv 0.0438
  epoch  70 | lam 0.100 | fwd 0.0796 | dino 0.1455 | test 0.1049 | nv 0.0407
  epoch  80 | lam 0.100 | fwd 0.0706 | dino 0.1141 | test 0.0944 | nv 0.0346
  epoch  90 | lam 0.100 | fwd 0.0652 | dino 0.1033 | test 0.0850 | nv 0.0301
  epoch 100 | lam 0.100 | fwd 0.0581 | dino 0.0903 | test 0.0796 | nv 0.0281
  epoch 110 | lam 0.100 | fwd 0.0544 | dino 0.0814 | test 0.0775 | nv 0.0281
  epoch 120 | lam 0.100 | fwd 0.0518 | dino 0.0794 | test 0.0738 | nv 0.0249
  epoch 130 | lam 0.100 | fwd 0.0505 | dino 0.0748 | test 0.0715 | nv 0.0254
  epoch 140 | lam 0.100 | fwd 0.0477 | dino 0.0688 | test 0.0710 | nv 0.0242
  epoch 150 | lam 0.100 | fwd 0.0468 | dino 0.0656 | test 0.0687 | nv 0.0244
  epoch 160 | lam 0.100 | fwd 0.0475 | dino 0.0622 | test 0.0690 | nv 0.0233
  epoch 170 | lam 0.100 | fwd 0.0437 | dino 0.0589 | test 0.0658 | nv 0.0224
  epoch 180 | lam 0.100 | fwd 0.0466 | dino 0.0605 | test 0.0640 | nv 0.0212
  epoch 190 | lam 0.100 | fwd 0.0413 | dino 0.0594 | test 0.0633 | nv 0.0220
  epoch 200 | lam 0.100 | fwd 0.0394 | dino 0.0554 | test 0.0614 | nv 0.0214
  epoch 210 | lam 0.100 | fwd 0.0380 | dino 0.0581 | test 0.0605 | nv 0.0209
  epoch 220 | lam 0.100 | fwd 0.0376 | dino 0.0532 | test 0.0595 | nv 0.0203
  epoch 230 | lam 0.100 | fwd 0.0371 | dino 0.0562 | test 0.0606 | nv 0.0209
  epoch 240 | lam 0.100 | fwd 0.0367 | dino 0.0536 | test 0.0584 | nv 0.0202
  epoch 250 | lam 0.100 | fwd 0.0373 | dino 0.0509 | test 0.0609 | nv 0.0215
  epoch 260 | lam 0.100 | fwd 0.0354 | dino 0.0522 | test 0.0573 | nv 0.0193
  epoch 270 | lam 0.100 | fwd 0.0352 | dino 0.0488 | test 0.0579 | nv 0.0203
  epoch 280 | lam 0.100 | fwd 0.0347 | dino 0.0475 | test 0.0564 | nv 0.0194
  epoch 290 | lam 0.100 | fwd 0.0345 | dino 0.0479 | test 0.0561 | nv 0.0202
  epoch 300 | lam 0.100 | fwd 0.0330 | dino 0.0484 | test 0.0549 | nv 0.0197
  epoch 310 | lam 0.100 | fwd 0.0327 | dino 0.0477 | test 0.0547 | nv 0.0194
  epoch 320 | lam 0.100 | fwd 0.0327 | dino 0.0453 | test 0.0545 | nv 0.0198
  epoch 330 | lam 0.100 | fwd 0.0322 | dino 0.0461 | test 0.0542 | nv 0.0190
  epoch 340 | lam 0.100 | fwd 0.0315 | dino 0.0452 | test 0.0544 | nv 0.0191
  epoch 350 | lam 0.100 | fwd 0.0320 | dino 0.0443 | test 0.0546 | nv 0.0195
  epoch 360 | lam 0.100 | fwd 0.0319 | dino 0.0448 | test 0.0534 | nv 0.0188
  epoch 370 | lam 0.100 | fwd 0.0314 | dino 0.0449 | test 0.0532 | nv 0.0189
  epoch 380 | lam 0.100 | fwd 0.0311 | dino 0.0466 | test 0.0535 | nv 0.0189
  epoch 390 | lam 0.100 | fwd 0.0308 | dino 0.0438 | test 0.0529 | nv 0.0190
  epoch 400 | lam 0.100 | fwd 0.0298 | dino 0.0433 | test 0.0525 | nv 0.0184
  epoch 410 | lam 0.100 | fwd 0.0299 | dino 0.0441 | test 0.0521 | nv 0.0184
  epoch 420 | lam 0.100 | fwd 0.0296 | dino 0.0440 | test 0.0521 | nv 0.0181
  epoch 430 | lam 0.100 | fwd 0.0299 | dino 0.0448 | test 0.0519 | nv 0.0187
  epoch 440 | lam 0.100 | fwd 0.0294 | dino 0.0434 | test 0.0518 | nv 0.0187
  epoch 450 | lam 0.100 | fwd 0.0295 | dino 0.0431 | test 0.0519 | nv 0.0184
  epoch 460 | lam 0.100 | fwd 0.0293 | dino 0.0432 | test 0.0516 | nv 0.0182
  epoch 470 | lam 0.100 | fwd 0.0294 | dino 0.0438 | test 0.0516 | nv 0.0182
  epoch 480 | lam 0.100 | fwd 0.0291 | dino 0.0426 | test 0.0513 | nv 0.0184
  epoch 490 | lam 0.100 | fwd 0.0292 | dino 0.0435 | test 0.0517 | nv 0.0185
  done. test rel-L2: 0.0512 | nv: 0.0179
