[dino] N=1000 seed=1 M=16 lambda=0.1 warmup=50 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 0.9985 | dino 0.9753 | test 0.9918 | nv 0.9926
  epoch  10 | lam 0.020 | fwd 0.2623 | dino 0.9032 | test 0.2654 | nv 0.0978
  epoch  20 | lam 0.040 | fwd 0.1439 | dino 0.5250 | test 0.1555 | nv 0.0582
  epoch  30 | lam 0.060 | fwd 0.0967 | dino 0.3329 | test 0.1070 | nv 0.0458
  epoch  40 | lam 0.080 | fwd 0.0804 | dino 0.2107 | test 0.0918 | nv 0.0345
  epoch  50 | lam 0.100 | fwd 0.0718 | dino 0.1393 | test 0.0786 | nv 0.0278
  epoch  60 | lam 0.100 | fwd 0.0629 | dino 0.0998 | test 0.0735 | nv 0.0247
  epoch  70 | lam 0.100 | fwd 0.0582 | dino 0.0795 | test 0.0730 | nv 0.0288
  epoch  80 | lam 0.100 | fwd 0.0532 | dino 0.0672 | test 0.0665 | nv 0.0233
  epoch  90 | lam 0.100 | fwd 0.0483 | dino 0.0562 | test 0.0588 | nv 0.0215
  epoch 100 | lam 0.100 | fwd 0.0427 | dino 0.0491 | test 0.0509 | nv 0.0188
  epoch 110 | lam 0.100 | fwd 0.0396 | dino 0.0453 | test 0.0508 | nv 0.0184
  epoch 120 | lam 0.100 | fwd 0.0382 | dino 0.0431 | test 0.0490 | nv 0.0197
  epoch 130 | lam 0.100 | fwd 0.0366 | dino 0.0424 | test 0.0470 | nv 0.0180
  epoch 140 | lam 0.100 | fwd 0.0368 | dino 0.0383 | test 0.0457 | nv 0.0179
  epoch 150 | lam 0.100 | fwd 0.0355 | dino 0.0365 | test 0.0466 | nv 0.0164
  epoch 160 | lam 0.100 | fwd 0.0337 | dino 0.0359 | test 0.0431 | nv 0.0160
  epoch 170 | lam 0.100 | fwd 0.0331 | dino 0.0346 | test 0.0429 | nv 0.0165
  epoch 180 | lam 0.100 | fwd 0.0331 | dino 0.0335 | test 0.0412 | nv 0.0164
  epoch 190 | lam 0.100 | fwd 0.0316 | dino 0.0315 | test 0.0406 | nv 0.0164
  epoch 200 | lam 0.100 | fwd 0.0290 | dino 0.0305 | test 0.0388 | nv 0.0144
  epoch 210 | lam 0.100 | fwd 0.0279 | dino 0.0297 | test 0.0377 | nv 0.0148
  epoch 220 | lam 0.100 | fwd 0.0277 | dino 0.0295 | test 0.0375 | nv 0.0150
  epoch 230 | lam 0.100 | fwd 0.0274 | dino 0.0293 | test 0.0372 | nv 0.0140
  epoch 240 | lam 0.100 | fwd 0.0269 | dino 0.0284 | test 0.0359 | nv 0.0142
  epoch 250 | lam 0.100 | fwd 0.0269 | dino 0.0283 | test 0.0357 | nv 0.0145
  epoch 260 | lam 0.100 | fwd 0.0260 | dino 0.0279 | test 0.0351 | nv 0.0140
  epoch 270 | lam 0.100 | fwd 0.0275 | dino 0.0269 | test 0.0346 | nv 0.0137
  epoch 280 | lam 0.100 | fwd 0.0258 | dino 0.0261 | test 0.0352 | nv 0.0137
  epoch 290 | lam 0.100 | fwd 0.0252 | dino 0.0261 | test 0.0344 | nv 0.0140
  epoch 300 | lam 0.100 | fwd 0.0235 | dino 0.0257 | test 0.0332 | nv 0.0130
  epoch 310 | lam 0.100 | fwd 0.0234 | dino 0.0252 | test 0.0332 | nv 0.0133
  epoch 320 | lam 0.100 | fwd 0.0234 | dino 0.0253 | test 0.0332 | nv 0.0137
  epoch 330 | lam 0.100 | fwd 0.0232 | dino 0.0251 | test 0.0325 | nv 0.0132
  epoch 340 | lam 0.100 | fwd 0.0228 | dino 0.0245 | test 0.0330 | nv 0.0130
  epoch 350 | lam 0.100 | fwd 0.0230 | dino 0.0247 | test 0.0329 | nv 0.0133
  epoch 360 | lam 0.100 | fwd 0.0224 | dino 0.0237 | test 0.0323 | nv 0.0126
  epoch 370 | lam 0.100 | fwd 0.0224 | dino 0.0244 | test 0.0325 | nv 0.0131
  epoch 380 | lam 0.100 | fwd 0.0221 | dino 0.0235 | test 0.0317 | nv 0.0125
  epoch 390 | lam 0.100 | fwd 0.0220 | dino 0.0235 | test 0.0319 | nv 0.0122
  epoch 400 | lam 0.100 | fwd 0.0215 | dino 0.0234 | test 0.0308 | nv 0.0123
  epoch 410 | lam 0.100 | fwd 0.0213 | dino 0.0227 | test 0.0307 | nv 0.0122
  epoch 420 | lam 0.100 | fwd 0.0212 | dino 0.0231 | test 0.0308 | nv 0.0125
  epoch 430 | lam 0.100 | fwd 0.0213 | dino 0.0226 | test 0.0308 | nv 0.0123
  epoch 440 | lam 0.100 | fwd 0.0210 | dino 0.0224 | test 0.0306 | nv 0.0124
  epoch 450 | lam 0.100 | fwd 0.0209 | dino 0.0224 | test 0.0303 | nv 0.0121
  epoch 460 | lam 0.100 | fwd 0.0208 | dino 0.0229 | test 0.0303 | nv 0.0120
  epoch 470 | lam 0.100 | fwd 0.0208 | dino 0.0223 | test 0.0304 | nv 0.0120
  epoch 480 | lam 0.100 | fwd 0.0210 | dino 0.0233 | test 0.0302 | nv 0.0121
  epoch 490 | lam 0.100 | fwd 0.0205 | dino 0.0218 | test 0.0302 | nv 0.0120
  done. test rel-L2: 0.0299 | nv: 0.0118
