[dino] N=1000 seed=0 M=16 lambda=0.1 warmup=50 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0054 | dino 0.9952 | test 0.9941 | nv 0.9919
  epoch  10 | lam 0.020 | fwd 0.2670 | dino 0.8590 | test 0.2632 | nv 0.1054
  epoch  20 | lam 0.040 | fwd 0.1307 | dino 0.5003 | test 0.1437 | nv 0.0509
  epoch  30 | lam 0.060 | fwd 0.0951 | dino 0.2871 | test 0.1127 | nv 0.0397
  epoch  40 | lam 0.080 | fwd 0.0756 | dino 0.1622 | test 0.0860 | nv 0.0315
  epoch  50 | lam 0.100 | fwd 0.0658 | dino 0.1038 | test 0.0852 | nv 0.0311
  epoch  60 | lam 0.100 | fwd 0.0581 | dino 0.0754 | test 0.0680 | nv 0.0246
  epoch  70 | lam 0.100 | fwd 0.0535 | dino 0.0619 | test 0.0640 | nv 0.0230
  epoch  80 | lam 0.100 | fwd 0.0502 | dino 0.0534 | test 0.0628 | nv 0.0245
  epoch  90 | lam 0.100 | fwd 0.0490 | dino 0.0487 | test 0.0584 | nv 0.0220
  epoch 100 | lam 0.100 | fwd 0.0405 | dino 0.0450 | test 0.0505 | nv 0.0197
  epoch 110 | lam 0.100 | fwd 0.0377 | dino 0.0405 | test 0.0494 | nv 0.0192
  epoch 120 | lam 0.100 | fwd 0.0372 | dino 0.0398 | test 0.0475 | nv 0.0189
  epoch 130 | lam 0.100 | fwd 0.0359 | dino 0.0374 | test 0.0462 | nv 0.0180
  epoch 140 | lam 0.100 | fwd 0.0355 | dino 0.0356 | test 0.0440 | nv 0.0179
  epoch 150 | lam 0.100 | fwd 0.0340 | dino 0.0338 | test 0.0438 | nv 0.0175
  epoch 160 | lam 0.100 | fwd 0.0335 | dino 0.0317 | test 0.0453 | nv 0.0180
  epoch 170 | lam 0.100 | fwd 0.0331 | dino 0.0310 | test 0.0416 | nv 0.0170
  epoch 180 | lam 0.100 | fwd 0.0311 | dino 0.0304 | test 0.0403 | nv 0.0173
  epoch 190 | lam 0.100 | fwd 0.0338 | dino 0.0302 | test 0.0405 | nv 0.0162
  epoch 200 | lam 0.100 | fwd 0.0279 | dino 0.0285 | test 0.0380 | nv 0.0155
  epoch 210 | lam 0.100 | fwd 0.0270 | dino 0.0285 | test 0.0373 | nv 0.0152
  epoch 220 | lam 0.100 | fwd 0.0269 | dino 0.0265 | test 0.0369 | nv 0.0143
  epoch 230 | lam 0.100 | fwd 0.0268 | dino 0.0278 | test 0.0365 | nv 0.0148
  epoch 240 | lam 0.100 | fwd 0.0263 | dino 0.0272 | test 0.0365 | nv 0.0145
  epoch 250 | lam 0.100 | fwd 0.0257 | dino 0.0256 | test 0.0356 | nv 0.0147
  epoch 260 | lam 0.100 | fwd 0.0257 | dino 0.0260 | test 0.0352 | nv 0.0144
  epoch 270 | lam 0.100 | fwd 0.0259 | dino 0.0242 | test 0.0357 | nv 0.0148
  epoch 280 | lam 0.100 | fwd 0.0248 | dino 0.0243 | test 0.0365 | nv 0.0139
  epoch 290 | lam 0.100 | fwd 0.0251 | dino 0.0244 | test 0.0343 | nv 0.0135
  epoch 300 | lam 0.100 | fwd 0.0229 | dino 0.0236 | test 0.0334 | nv 0.0136
  epoch 310 | lam 0.100 | fwd 0.0230 | dino 0.0241 | test 0.0328 | nv 0.0131
  epoch 320 | lam 0.100 | fwd 0.0226 | dino 0.0230 | test 0.0331 | nv 0.0136
  epoch 330 | lam 0.100 | fwd 0.0224 | dino 0.0231 | test 0.0325 | nv 0.0132
  epoch 340 | lam 0.100 | fwd 0.0226 | dino 0.0222 | test 0.0325 | nv 0.0134
  epoch 350 | lam 0.100 | fwd 0.0221 | dino 0.0218 | test 0.0319 | nv 0.0128
  epoch 360 | lam 0.100 | fwd 0.0219 | dino 0.0225 | test 0.0324 | nv 0.0133
  epoch 370 | lam 0.100 | fwd 0.0221 | dino 0.0219 | test 0.0323 | nv 0.0128
  epoch 380 | lam 0.100 | fwd 0.0215 | dino 0.0229 | test 0.0319 | nv 0.0128
  epoch 390 | lam 0.100 | fwd 0.0216 | dino 0.0212 | test 0.0322 | nv 0.0130
  epoch 400 | lam 0.100 | fwd 0.0208 | dino 0.0215 | test 0.0309 | nv 0.0126
  epoch 410 | lam 0.100 | fwd 0.0207 | dino 0.0213 | test 0.0309 | nv 0.0125
  epoch 420 | lam 0.100 | fwd 0.0206 | dino 0.0216 | test 0.0307 | nv 0.0122
  epoch 430 | lam 0.100 | fwd 0.0206 | dino 0.0220 | test 0.0307 | nv 0.0126
  epoch 440 | lam 0.100 | fwd 0.0207 | dino 0.0215 | test 0.0305 | nv 0.0122
  epoch 450 | lam 0.100 | fwd 0.0205 | dino 0.0212 | test 0.0303 | nv 0.0121
  epoch 460 | lam 0.100 | fwd 0.0204 | dino 0.0213 | test 0.0303 | nv 0.0125
  epoch 470 | lam 0.100 | fwd 0.0203 | dino 0.0213 | test 0.0304 | nv 0.0123
  epoch 480 | lam 0.100 | fwd 0.0202 | dino 0.0210 | test 0.0302 | nv 0.0122
  epoch 490 | lam 0.100 | fwd 0.0200 | dino 0.0213 | test 0.0301 | nv 0.0124
  done. test rel-L2: 0.0299 | nv: 0.0121
