[dino] N=250 seed=2 M=16 lambda=0.1 warmup=50 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0127 | dino 0.9503 | test 1.0069 | nv 0.9936
  epoch  10 | lam 0.020 | fwd 0.8748 | dino 1.0134 | test 0.8786 | nv 0.8571
  epoch  20 | lam 0.040 | fwd 0.5226 | dino 0.9353 | test 0.5583 | nv 0.3400
  epoch  30 | lam 0.060 | fwd 0.3585 | dino 0.8765 | test 0.3857 | nv 0.1793
  epoch  40 | lam 0.080 | fwd 0.2594 | dino 0.6833 | test 0.2995 | nv 0.1254
  epoch  50 | lam 0.100 | fwd 0.2117 | dino 0.5106 | test 0.2509 | nv 0.1043
  epoch  60 | lam 0.100 | fwd 0.1854 | dino 0.4052 | test 0.2323 | nv 0.0936
  epoch  70 | lam 0.100 | fwd 0.1493 | dino 0.3350 | test 0.1945 | nv 0.0739
  epoch  80 | lam 0.100 | fwd 0.1299 | dino 0.2900 | test 0.1786 | nv 0.0653
  epoch  90 | lam 0.100 | fwd 0.1191 | dino 0.2467 | test 0.1666 | nv 0.0612
  epoch 100 | lam 0.100 | fwd 0.1020 | dino 0.2010 | test 0.1443 | nv 0.0521
  epoch 110 | lam 0.100 | fwd 0.0989 | dino 0.2030 | test 0.1412 | nv 0.0506
  epoch 120 | lam 0.100 | fwd 0.0896 | dino 0.1805 | test 0.1353 | nv 0.0486
  epoch 130 | lam 0.100 | fwd 0.0882 | dino 0.1883 | test 0.1308 | nv 0.0440
  epoch 140 | lam 0.100 | fwd 0.0806 | dino 0.1647 | test 0.1258 | nv 0.0426
  epoch 150 | lam 0.100 | fwd 0.0791 | dino 0.1654 | test 0.1234 | nv 0.0414
  epoch 160 | lam 0.100 | fwd 0.0736 | dino 0.1568 | test 0.1195 | nv 0.0420
  epoch 170 | lam 0.100 | fwd 0.0703 | dino 0.1408 | test 0.1158 | nv 0.0398
  epoch 180 | lam 0.100 | fwd 0.0739 | dino 0.1448 | test 0.1153 | nv 0.0430
  epoch 190 | lam 0.100 | fwd 0.0694 | dino 0.1373 | test 0.1123 | nv 0.0392
  epoch 200 | lam 0.100 | fwd 0.0652 | dino 0.1304 | test 0.1090 | nv 0.0389
  epoch 210 | lam 0.100 | fwd 0.0608 | dino 0.1323 | test 0.1060 | nv 0.0371
  epoch 220 | lam 0.100 | fwd 0.0587 | dino 0.1280 | test 0.1053 | nv 0.0368
  epoch 230 | lam 0.100 | fwd 0.0595 | dino 0.1196 | test 0.1037 | nv 0.0368
  epoch 240 | lam 0.100 | fwd 0.0591 | dino 0.1186 | test 0.1036 | nv 0.0363
  epoch 250 | lam 0.100 | fwd 0.0590 | dino 0.1169 | test 0.1028 | nv 0.0366
  epoch 260 | lam 0.100 | fwd 0.0568 | dino 0.1204 | test 0.1005 | nv 0.0357
  epoch 270 | lam 0.100 | fwd 0.0548 | dino 0.1108 | test 0.0999 | nv 0.0351
  epoch 280 | lam 0.100 | fwd 0.0548 | dino 0.1132 | test 0.0990 | nv 0.0346
  epoch 290 | lam 0.100 | fwd 0.0539 | dino 0.1168 | test 0.0987 | nv 0.0343
  epoch 300 | lam 0.100 | fwd 0.0523 | dino 0.1085 | test 0.0968 | nv 0.0343
  epoch 310 | lam 0.100 | fwd 0.0508 | dino 0.1044 | test 0.0960 | nv 0.0340
  epoch 320 | lam 0.100 | fwd 0.0499 | dino 0.1065 | test 0.0960 | nv 0.0343
  epoch 330 | lam 0.100 | fwd 0.0482 | dino 0.1039 | test 0.0953 | nv 0.0343
  epoch 340 | lam 0.100 | fwd 0.0512 | dino 0.1041 | test 0.0950 | nv 0.0340
  epoch 350 | lam 0.100 | fwd 0.0499 | dino 0.1092 | test 0.0946 | nv 0.0336
  epoch 360 | lam 0.100 | fwd 0.0508 | dino 0.1116 | test 0.0940 | nv 0.0337
  epoch 370 | lam 0.100 | fwd 0.0497 | dino 0.1090 | test 0.0937 | nv 0.0336
  epoch 380 | lam 0.100 | fwd 0.0498 | dino 0.1017 | test 0.0932 | nv 0.0331
  epoch 390 | lam 0.100 | fwd 0.0474 | dino 0.1032 | test 0.0934 | nv 0.0336
  epoch 400 | lam 0.100 | fwd 0.0467 | dino 0.0995 | test 0.0923 | nv 0.0333
  epoch 410 | lam 0.100 | fwd 0.0479 | dino 0.1057 | test 0.0920 | nv 0.0329
  epoch 420 | lam 0.100 | fwd 0.0475 | dino 0.0998 | test 0.0919 | nv 0.0328
  epoch 430 | lam 0.100 | fwd 0.0477 | dino 0.1023 | test 0.0917 | nv 0.0328
  epoch 440 | lam 0.100 | fwd 0.0463 | dino 0.0977 | test 0.0915 | nv 0.0329
  epoch 450 | lam 0.100 | fwd 0.0454 | dino 0.0987 | test 0.0912 | nv 0.0328
  epoch 460 | lam 0.100 | fwd 0.0468 | dino 0.1003 | test 0.0910 | nv 0.0325
  epoch 470 | lam 0.100 | fwd 0.0460 | dino 0.1020 | test 0.0909 | nv 0.0325
  epoch 480 | lam 0.100 | fwd 0.0459 | dino 0.0994 | test 0.0905 | nv 0.0328
  epoch 490 | lam 0.100 | fwd 0.0453 | dino 0.0950 | test 0.0905 | nv 0.0321
  done. test rel-L2: 0.0902 | nv: 0.0325
