[dino] N=250 seed=1 M=16 lambda=0.1 warmup=50 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0054 | dino 0.9296 | test 0.9999 | nv 0.9959
  epoch  10 | lam 0.020 | fwd 0.8702 | dino 1.0894 | test 0.8605 | nv 0.8220
  epoch  20 | lam 0.040 | fwd 0.5097 | dino 0.9010 | test 0.5477 | nv 0.2970
  epoch  30 | lam 0.060 | fwd 0.3377 | dino 0.8425 | test 0.3751 | nv 0.1683
  epoch  40 | lam 0.080 | fwd 0.2456 | dino 0.6744 | test 0.2962 | nv 0.1298
  epoch  50 | lam 0.100 | fwd 0.1940 | dino 0.5340 | test 0.2433 | nv 0.0938
  epoch  60 | lam 0.100 | fwd 0.1687 | dino 0.4279 | test 0.2122 | nv 0.0805
  epoch  70 | lam 0.100 | fwd 0.1437 | dino 0.3632 | test 0.1865 | nv 0.0730
  epoch  80 | lam 0.100 | fwd 0.1413 | dino 0.3314 | test 0.1719 | nv 0.0719
  epoch  90 | lam 0.100 | fwd 0.1134 | dino 0.2738 | test 0.1602 | nv 0.0655
  epoch 100 | lam 0.100 | fwd 0.1048 | dino 0.2392 | test 0.1456 | nv 0.0600
  epoch 110 | lam 0.100 | fwd 0.0946 | dino 0.2291 | test 0.1404 | nv 0.0555
  epoch 120 | lam 0.100 | fwd 0.0878 | dino 0.2184 | test 0.1342 | nv 0.0533
  epoch 130 | lam 0.100 | fwd 0.0849 | dino 0.2037 | test 0.1295 | nv 0.0503
  epoch 140 | lam 0.100 | fwd 0.0824 | dino 0.1952 | test 0.1267 | nv 0.0527
  epoch 150 | lam 0.100 | fwd 0.0775 | dino 0.1971 | test 0.1247 | nv 0.0494
  epoch 160 | lam 0.100 | fwd 0.0753 | dino 0.1744 | test 0.1204 | nv 0.0477
  epoch 170 | lam 0.100 | fwd 0.0723 | dino 0.1687 | test 0.1162 | nv 0.0451
  epoch 180 | lam 0.100 | fwd 0.0766 | dino 0.1619 | test 0.1212 | nv 0.0443
  epoch 190 | lam 0.100 | fwd 0.0675 | dino 0.1532 | test 0.1115 | nv 0.0427
  epoch 200 | lam 0.100 | fwd 0.0646 | dino 0.1470 | test 0.1087 | nv 0.0427
  epoch 210 | lam 0.100 | fwd 0.0610 | dino 0.1412 | test 0.1074 | nv 0.0424
  epoch 220 | lam 0.100 | fwd 0.0613 | dino 0.1367 | test 0.1064 | nv 0.0422
  epoch 230 | lam 0.100 | fwd 0.0604 | dino 0.1523 | test 0.1049 | nv 0.0413
  epoch 240 | lam 0.100 | fwd 0.0579 | dino 0.1397 | test 0.1052 | nv 0.0417
  epoch 250 | lam 0.100 | fwd 0.0589 | dino 0.1438 | test 0.1045 | nv 0.0407
  epoch 260 | lam 0.100 | fwd 0.0577 | dino 0.1346 | test 0.1028 | nv 0.0396
  epoch 270 | lam 0.100 | fwd 0.0566 | dino 0.1356 | test 0.1016 | nv 0.0394
  epoch 280 | lam 0.100 | fwd 0.0558 | dino 0.1296 | test 0.1009 | nv 0.0396
  epoch 290 | lam 0.100 | fwd 0.0561 | dino 0.1307 | test 0.1004 | nv 0.0396
  epoch 300 | lam 0.100 | fwd 0.0520 | dino 0.1271 | test 0.0989 | nv 0.0383
  epoch 310 | lam 0.100 | fwd 0.0537 | dino 0.1258 | test 0.0983 | nv 0.0386
  epoch 320 | lam 0.100 | fwd 0.0530 | dino 0.1265 | test 0.0983 | nv 0.0375
  epoch 330 | lam 0.100 | fwd 0.0521 | dino 0.1235 | test 0.0977 | nv 0.0375
  epoch 340 | lam 0.100 | fwd 0.0512 | dino 0.1187 | test 0.0972 | nv 0.0379
  epoch 350 | lam 0.100 | fwd 0.0503 | dino 0.1191 | test 0.0965 | nv 0.0374
  epoch 360 | lam 0.100 | fwd 0.0514 | dino 0.1167 | test 0.0966 | nv 0.0375
  epoch 370 | lam 0.100 | fwd 0.0494 | dino 0.1241 | test 0.0963 | nv 0.0368
  epoch 380 | lam 0.100 | fwd 0.0500 | dino 0.1107 | test 0.0958 | nv 0.0372
  epoch 390 | lam 0.100 | fwd 0.0476 | dino 0.1109 | test 0.0951 | nv 0.0367
  epoch 400 | lam 0.100 | fwd 0.0475 | dino 0.1114 | test 0.0948 | nv 0.0358
  epoch 410 | lam 0.100 | fwd 0.0483 | dino 0.1109 | test 0.0946 | nv 0.0361
  epoch 420 | lam 0.100 | fwd 0.0483 | dino 0.1174 | test 0.0942 | nv 0.0361
  epoch 430 | lam 0.100 | fwd 0.0452 | dino 0.1112 | test 0.0943 | nv 0.0354
  epoch 440 | lam 0.100 | fwd 0.0477 | dino 0.1116 | test 0.0942 | nv 0.0362
  epoch 450 | lam 0.100 | fwd 0.0476 | dino 0.1093 | test 0.0937 | nv 0.0356
  epoch 460 | lam 0.100 | fwd 0.0479 | dino 0.1127 | test 0.0937 | nv 0.0356
  epoch 470 | lam 0.100 | fwd 0.0468 | dino 0.1090 | test 0.0933 | nv 0.0360
  epoch 480 | lam 0.100 | fwd 0.0482 | dino 0.1168 | test 0.0931 | nv 0.0356
  epoch 490 | lam 0.100 | fwd 0.0473 | dino 0.1065 | test 0.0931 | nv 0.0355
  done. test rel-L2: 0.0928 | nv: 0.0350
