[dino] N=1000 seed=1 M=16 lambda=0.0 warmup=0 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 0.9985 | dino 0.9753 | test 0.9918 | nv 0.9926
  epoch  10 | lam 0.000 | fwd 0.2659 | dino 1.3235 | test 0.2684 | nv 0.0971
  epoch  20 | lam 0.000 | fwd 0.1455 | dino 1.3025 | test 0.1574 | nv 0.0614
  epoch  30 | lam 0.000 | fwd 0.0981 | dino 1.2512 | test 0.1112 | nv 0.0460
  epoch  40 | lam 0.000 | fwd 0.0826 | dino 1.1797 | test 0.0914 | nv 0.0342
  epoch  50 | lam 0.000 | fwd 0.0717 | dino 1.1221 | test 0.0934 | nv 0.0324
  epoch  60 | lam 0.000 | fwd 0.0637 | dino 1.0715 | test 0.0779 | nv 0.0277
  epoch  70 | lam 0.000 | fwd 0.0590 | dino 1.0362 | test 0.0698 | nv 0.0278
  epoch  80 | lam 0.000 | fwd 0.0558 | dino 1.0236 | test 0.0707 | nv 0.0267
  epoch  90 | lam 0.000 | fwd 0.0504 | dino 0.9870 | test 0.0607 | nv 0.0222
  epoch 100 | lam 0.000 | fwd 0.0457 | dino 0.9612 | test 0.0544 | nv 0.0194
  epoch 110 | lam 0.000 | fwd 0.0413 | dino 0.9538 | test 0.0540 | nv 0.0189
  epoch 120 | lam 0.000 | fwd 0.0406 | dino 0.9335 | test 0.0531 | nv 0.0197
  epoch 130 | lam 0.000 | fwd 0.0390 | dino 0.9310 | test 0.0516 | nv 0.0190
  epoch 140 | lam 0.000 | fwd 0.0403 | dino 0.9038 | test 0.0503 | nv 0.0192
  epoch 150 | lam 0.000 | fwd 0.0374 | dino 0.8978 | test 0.0502 | nv 0.0174
  epoch 160 | lam 0.000 | fwd 0.0378 | dino 0.8803 | test 0.0490 | nv 0.0180
  epoch 170 | lam 0.000 | fwd 0.0351 | dino 0.8754 | test 0.0464 | nv 0.0171
  epoch 180 | lam 0.000 | fwd 0.0357 | dino 0.8657 | test 0.0455 | nv 0.0170
  epoch 190 | lam 0.000 | fwd 0.0335 | dino 0.8438 | test 0.0453 | nv 0.0176
  epoch 200 | lam 0.000 | fwd 0.0308 | dino 0.8398 | test 0.0426 | nv 0.0148
  epoch 210 | lam 0.000 | fwd 0.0304 | dino 0.8303 | test 0.0416 | nv 0.0154
  epoch 220 | lam 0.000 | fwd 0.0299 | dino 0.8230 | test 0.0414 | nv 0.0156
  epoch 230 | lam 0.000 | fwd 0.0297 | dino 0.8209 | test 0.0416 | nv 0.0142
  epoch 240 | lam 0.000 | fwd 0.0291 | dino 0.8032 | test 0.0400 | nv 0.0144
  epoch 250 | lam 0.000 | fwd 0.0288 | dino 0.7932 | test 0.0400 | nv 0.0148
  epoch 260 | lam 0.000 | fwd 0.0281 | dino 0.7932 | test 0.0388 | nv 0.0143
  epoch 270 | lam 0.000 | fwd 0.0302 | dino 0.7837 | test 0.0393 | nv 0.0149
  epoch 280 | lam 0.000 | fwd 0.0276 | dino 0.7745 | test 0.0389 | nv 0.0137
  epoch 290 | lam 0.000 | fwd 0.0274 | dino 0.7731 | test 0.0385 | nv 0.0146
  epoch 300 | lam 0.000 | fwd 0.0256 | dino 0.7623 | test 0.0370 | nv 0.0134
  epoch 310 | lam 0.000 | fwd 0.0254 | dino 0.7617 | test 0.0368 | nv 0.0137
  epoch 320 | lam 0.000 | fwd 0.0253 | dino 0.7596 | test 0.0365 | nv 0.0140
  epoch 330 | lam 0.000 | fwd 0.0252 | dino 0.7559 | test 0.0363 | nv 0.0137
  epoch 340 | lam 0.000 | fwd 0.0250 | dino 0.7521 | test 0.0367 | nv 0.0134
  epoch 350 | lam 0.000 | fwd 0.0251 | dino 0.7467 | test 0.0363 | nv 0.0136
  epoch 360 | lam 0.000 | fwd 0.0246 | dino 0.7347 | test 0.0361 | nv 0.0129
  epoch 370 | lam 0.000 | fwd 0.0245 | dino 0.7446 | test 0.0358 | nv 0.0134
  epoch 380 | lam 0.000 | fwd 0.0244 | dino 0.7248 | test 0.0357 | nv 0.0132
  epoch 390 | lam 0.000 | fwd 0.0242 | dino 0.7195 | test 0.0352 | nv 0.0126
  epoch 400 | lam 0.000 | fwd 0.0236 | dino 0.7192 | test 0.0345 | nv 0.0125
  epoch 410 | lam 0.000 | fwd 0.0234 | dino 0.7133 | test 0.0343 | nv 0.0125
  epoch 420 | lam 0.000 | fwd 0.0233 | dino 0.7144 | test 0.0344 | nv 0.0128
  epoch 430 | lam 0.000 | fwd 0.0232 | dino 0.7170 | test 0.0342 | nv 0.0127
  epoch 440 | lam 0.000 | fwd 0.0231 | dino 0.7086 | test 0.0344 | nv 0.0128
  epoch 450 | lam 0.000 | fwd 0.0230 | dino 0.7085 | test 0.0340 | nv 0.0124
  epoch 460 | lam 0.000 | fwd 0.0228 | dino 0.7037 | test 0.0338 | nv 0.0124
  epoch 470 | lam 0.000 | fwd 0.0229 | dino 0.7073 | test 0.0338 | nv 0.0122
  epoch 480 | lam 0.000 | fwd 0.0230 | dino 0.6992 | test 0.0339 | nv 0.0125
  epoch 490 | lam 0.000 | fwd 0.0226 | dino 0.7134 | test 0.0338 | nv 0.0122
  done. test rel-L2: 0.0334 | nv: 0.0121
