[dino] N=1000 seed=2 M=16 lambda=0.1 warmup=50 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0012 | dino 0.9700 | test 0.9939 | nv 0.9878
  epoch  10 | lam 0.020 | fwd 0.2798 | dino 0.8696 | test 0.2860 | nv 0.1037
  epoch  20 | lam 0.040 | fwd 0.1418 | dino 0.4899 | test 0.1576 | nv 0.0576
  epoch  30 | lam 0.060 | fwd 0.1033 | dino 0.2753 | test 0.1139 | nv 0.0395
  epoch  40 | lam 0.080 | fwd 0.0789 | dino 0.1615 | test 0.0888 | nv 0.0328
  epoch  50 | lam 0.100 | fwd 0.0683 | dino 0.0997 | test 0.0809 | nv 0.0278
  epoch  60 | lam 0.100 | fwd 0.0613 | dino 0.0746 | test 0.0680 | nv 0.0234
  epoch  70 | lam 0.100 | fwd 0.0560 | dino 0.0618 | test 0.0648 | nv 0.0224
  epoch  80 | lam 0.100 | fwd 0.0518 | dino 0.0575 | test 0.0612 | nv 0.0212
  epoch  90 | lam 0.100 | fwd 0.0475 | dino 0.0491 | test 0.0555 | nv 0.0207
  epoch 100 | lam 0.100 | fwd 0.0394 | dino 0.0435 | test 0.0495 | nv 0.0188
  epoch 110 | lam 0.100 | fwd 0.0386 | dino 0.0409 | test 0.0500 | nv 0.0171
  epoch 120 | lam 0.100 | fwd 0.0367 | dino 0.0386 | test 0.0496 | nv 0.0167
  epoch 130 | lam 0.100 | fwd 0.0343 | dino 0.0364 | test 0.0460 | nv 0.0151
  epoch 140 | lam 0.100 | fwd 0.0349 | dino 0.0361 | test 0.0453 | nv 0.0153
  epoch 150 | lam 0.100 | fwd 0.0332 | dino 0.0338 | test 0.0443 | nv 0.0152
  epoch 160 | lam 0.100 | fwd 0.0320 | dino 0.0332 | test 0.0420 | nv 0.0141
  epoch 170 | lam 0.100 | fwd 0.0312 | dino 0.0319 | test 0.0406 | nv 0.0142
  epoch 180 | lam 0.100 | fwd 0.0312 | dino 0.0307 | test 0.0406 | nv 0.0138
  epoch 190 | lam 0.100 | fwd 0.0298 | dino 0.0295 | test 0.0408 | nv 0.0146
  epoch 200 | lam 0.100 | fwd 0.0268 | dino 0.0278 | test 0.0367 | nv 0.0131
  epoch 210 | lam 0.100 | fwd 0.0262 | dino 0.0275 | test 0.0367 | nv 0.0134
  epoch 220 | lam 0.100 | fwd 0.0257 | dino 0.0270 | test 0.0358 | nv 0.0122
  epoch 230 | lam 0.100 | fwd 0.0259 | dino 0.0256 | test 0.0359 | nv 0.0128
  epoch 240 | lam 0.100 | fwd 0.0262 | dino 0.0262 | test 0.0352 | nv 0.0125
  epoch 250 | lam 0.100 | fwd 0.0247 | dino 0.0257 | test 0.0350 | nv 0.0121
  epoch 260 | lam 0.100 | fwd 0.0244 | dino 0.0257 | test 0.0356 | nv 0.0127
  epoch 270 | lam 0.100 | fwd 0.0241 | dino 0.0243 | test 0.0342 | nv 0.0119
  epoch 280 | lam 0.100 | fwd 0.0239 | dino 0.0232 | test 0.0339 | nv 0.0118
  epoch 290 | lam 0.100 | fwd 0.0238 | dino 0.0241 | test 0.0336 | nv 0.0123
  epoch 300 | lam 0.100 | fwd 0.0222 | dino 0.0232 | test 0.0320 | nv 0.0112
  epoch 310 | lam 0.100 | fwd 0.0219 | dino 0.0228 | test 0.0321 | nv 0.0115
  epoch 320 | lam 0.100 | fwd 0.0221 | dino 0.0226 | test 0.0320 | nv 0.0119
  epoch 330 | lam 0.100 | fwd 0.0217 | dino 0.0227 | test 0.0317 | nv 0.0112
  epoch 340 | lam 0.100 | fwd 0.0214 | dino 0.0230 | test 0.0316 | nv 0.0108
  epoch 350 | lam 0.100 | fwd 0.0214 | dino 0.0224 | test 0.0313 | nv 0.0108
  epoch 360 | lam 0.100 | fwd 0.0217 | dino 0.0226 | test 0.0310 | nv 0.0109
  epoch 370 | lam 0.100 | fwd 0.0213 | dino 0.0220 | test 0.0308 | nv 0.0109
  epoch 380 | lam 0.100 | fwd 0.0212 | dino 0.0221 | test 0.0311 | nv 0.0108
  epoch 390 | lam 0.100 | fwd 0.0207 | dino 0.0217 | test 0.0309 | nv 0.0105
  epoch 400 | lam 0.100 | fwd 0.0202 | dino 0.0217 | test 0.0300 | nv 0.0104
  epoch 410 | lam 0.100 | fwd 0.0199 | dino 0.0209 | test 0.0299 | nv 0.0106
  epoch 420 | lam 0.100 | fwd 0.0200 | dino 0.0214 | test 0.0302 | nv 0.0105
  epoch 430 | lam 0.100 | fwd 0.0198 | dino 0.0209 | test 0.0296 | nv 0.0102
  epoch 440 | lam 0.100 | fwd 0.0198 | dino 0.0206 | test 0.0295 | nv 0.0103
  epoch 450 | lam 0.100 | fwd 0.0197 | dino 0.0202 | test 0.0299 | nv 0.0107
  epoch 460 | lam 0.100 | fwd 0.0195 | dino 0.0203 | test 0.0293 | nv 0.0104
  epoch 470 | lam 0.100 | fwd 0.0195 | dino 0.0217 | test 0.0297 | nv 0.0105
  epoch 480 | lam 0.100 | fwd 0.0195 | dino 0.0211 | test 0.0292 | nv 0.0100
  epoch 490 | lam 0.100 | fwd 0.0195 | dino 0.0201 | test 0.0292 | nv 0.0100
  done. test rel-L2: 0.0293 | nv: 0.0101
