idx,k0,response_err
0,4,1.00045704013375
1,2,0.9996379575377129
2,-3,0.9996135400303553
3,-2,1.0007474152325568
4,-3,1.000190127652182
5,3,1.0001292290603567
6,0,0.9993394449516771
7,4,1.0002360250794942
8,-4,0.9999991761059375
9,3,0.9997676406779464
10,0,1.0002208617338737
11,-2,1.0005499738785044
12,4,1.0000434519997932
13,0,1.0002024770731597
14,-1,1.0002600187589081
15,0,1.00035340330088
16,1,1.0009201065368891
17,-1,1.0001449905350726
18,-2,1.000394676416971
19,-4,1.000514928689673
20,-3,0.9999695777240357
21,2,1.0003117556318701
22,1,1.000386469719356
23,1,1.0005178346105172
24,0,0.9996984939514182
25,3,1.000330925665572
26,3,0.9998660149768772
27,1,1.000006494161005
28,3,1.0005065322050029
29,3,0.9999763168764793
30,0,1.0007036650971277
31,2,0.9995355327143131
32,-2,1.0004832757171964
33,4,0.9997817066299401
34,4,0.9999916919983747
35,2,1.0000095464050105
36,-2,0.9996346101306725
37,1,1.000003899277566
38,-2,1.0000930351407977
39,4,1.0000787519881864
40,0,0.9998680849489732
41,0,1.0004471337029748
42,2,1.0004088170827654
43,1,1.0001320584437545
44,-4,1.0001308882761057
45,4,1.0001621818423048
46,1,1.0000635806257137
47,-3,0.9999732418860443
48,-4,1.0002035516430277
49,0,1.0006256417122943
50,-1,1.0004636795673996
51,0,1.0003244843196606
52,4,0.9997033379998902
53,0,1.0004278709655285
54,4,1.0002492556943485
55,-1,0.9997221009024853
56,3,1.0004078115736366
57,-3,1.0000968323596986
58,4,1.0000858530619086
59,1,0.9999072336255396
60,4,0.9998098551410599
61,3,1.0000999448638663
62,-1,1.0001011474595178
63,2,1.0002738920294736
64,1,0.999893785456446
65,4,0.9999832603150157
66,0,1.0002021509728556
67,3,0.9999316765420713
68,-1,0.9997697844138005
69,1,0.999577509934597
70,-2,0.9992529800822124
71,-4,0.9997891390560426
72,0,0.9997975204456334
73,3,0.9995897519778104
74,1,1.0005057444444576
75,3,1.000000474823199
76,4,1.0001693572121777
77,-3,1.0000771034377105
78,-4,0.999888221818972
79,4,1.000217737510595
80,-4,0.9998245152274059
81,-4,1.0000202156974696
82,0,0.9996073758885774
83,3,0.9999413580105598
84,1,1.0000003494958016
85,-3,0.9998805521540344
86,3,1.0006130955193724
87,4,0.9997312892585757
88,-4,1.0003516715672063
89,3,0.999741334566202
90,-3,0.9999084475098612
91,-2,0.9996457470052003
92,4,0.999830292610158
93,-3,1.000050900756357
94,3,0.9995541186178682
95,3,1.0002173668235137
96,-4,1.0000038324041856
97,3,0.999922718928644
98,1,1.000030138268033
99,0,1.0002278919530814
100,3,1.0003829418656376
101,3,0.9999765480843162
102,3,0.9999914996445832
103,4,1.0000894708670165
104,1,1.000079932336882
105,4,0.9999784042391797
106,4,1.0000857560585583
107,3,0.9998557781528643
108,-1,1.0003110952766905
109,-1,1.0003843522040432
110,1,1.0001915227787437
111,3,1.000316894994276
112,-4,1.0003778911961505
113,4,0.9997062267101632
114,2,0.9996781764635339
115,0,0.9992597444290153
116,3,1.0003817415639475
117,0,1.0004190109673854
118,0,0.9996667198022858
119,-3,0.9999500388477565
120,1,1.0003780761730399
121,-1,1.000205128763666
122,1,1.000277345319243
123,3,1.0005911097189921
124,4,1.000024956414131
125,-1,1.0002871371012134
126,-2,1.0004293390219914
127,4,1.000298390840369
128,-3,1.0001882075252084
129,2,0.9998177339699854
130,-3,1.0004470873018974
131,-1,1.0002257194557795
132,-2,0.9997992143174126
133,3,1.0002609186246687
134,-1,0.999546073117399
135,0,1.0008479463630824
136,3,1.000314487852708
137,-1,1.000609069731947
138,-1,0.9996230507929948
139,-2,1.0004831765341586
140,0,0.999830580352145
141,-3,1.0005335640199424
142,-3,0.9996267595235356
143,-4,1.0000526657104742
144,1,1.0004806061072735
145,-1,1.0001777318578904
146,0,1.0004351352763323
147,-1,1.0002715570911
148,-2,0.9998406722201035
149,0,0.9996471100097536
150,-1,0.9995470964315863
151,-1,0.9998319246281274
152,1,0.9995721410091412
153,1,0.9998648671166452
154,-1,1.0003899926556141
155,0,0.9997899686118624
156,-1,1.0000156988399185
157,2,0.9997605839243393
158,3,0.9999912630101327
159,2,1.0006136382758208
160,4,1.000069758065061
161,2,0.9994660755702537
162,2,1.0001098103402797
163,2,1.0007394224020059
164,1,0.9991635348517048
165,3,1.0002120981040004
166,-4,1.0001202119996728
167,3,1.0003445025563684
168,-4,0.9999932782514648
169,-4,0.9999124505911214
170,2,1.0001022969041222
171,-4,0.9999870409875485
172,-4,0.9997524438372648
173,3,1.0005000884537218
174,3,1.0001099537218046
175,2,1.000011608522492
176,-2,0.999836787206082
177,-4,1.0004561155740843
178,4,0.9999202615634777
179,2,1.00008172250721
180,4,1.0001958498561447
181,1,0.9999136904024152
182,3,1.000162826207108
183,0,0.9996208820103657
184,-2,0.9991765266398518
185,1,0.9992512902091737
186,-3,1.0003264240041203
187,-1,0.9996437768561394
188,0,1.0003959786040242
189,3,1.0000451188382184
190,3,1.0001905731292546
191,3,1.0003261546860545
192,-1,0.9994538276184785
193,3,0.9997618194202847
194,4,0.999732749505971
195,4,1.000012509093489
196,-2,0.999828709795529
197,2,1.0006698490319337
198,-2,0.9999551994740074
199,-1,1.0000762128869791
