M,seed,idx,k0,response_err
12,0,122,1,0.2971186710096527
12,0,123,3,0.2095650442164915
12,0,124,4,0.2592917731553299
12,0,125,-1,0.20502031563105713
12,0,126,-2,0.17859608549694722
12,0,127,4,0.27923753959800035
12,0,128,-3,0.2269798484642444
12,0,129,2,0.2166963825947593
12,0,130,-3,0.2659498866192324
12,0,131,-1,0.20650665312574276
12,0,132,-2,0.1993201332885154
12,0,133,3,0.24051978152986275
12,0,134,-1,0.2128648455245977
12,0,135,0,0.161964142910569
12,0,136,3,0.20732201809038614
12,0,137,-1,0.15680553563987296
12,0,138,-1,0.11855458910064087
12,0,139,-2,0.17047478119802692
12,0,140,0,0.1088844774901822
12,0,141,-3,0.22981888604921902
12,0,142,-3,0.22047149935858493
12,0,143,-4,0.2686151870708727
12,0,144,1,0.2719218466067631
12,0,145,-1,0.17366813748457605
12,0,146,0,0.20128080581943802
12,0,147,-1,0.17749692701962735
12,0,148,-2,0.15514460161133847
12,0,149,0,0.12568887195399486
12,0,150,-1,0.2289295975945711
12,0,151,-1,0.2917786692428793
12,0,152,1,0.2598300033933045
12,0,153,1,0.2210300329519658
12,0,154,-1,0.2087797825439674
12,0,155,0,0.14302007170205186
12,0,156,-1,0.21250335644418297
12,0,157,2,0.22800292786658424
12,0,158,3,0.2413591761802586
12,0,159,2,0.25303784393271167
12,0,160,4,0.23553247529277588
12,0,161,2,0.2542152391181899
12,0,162,2,0.24845822223419908
12,0,163,2,0.23520231817994805
12,0,164,1,0.3360765973605174
12,0,165,3,0.22522862015929007
12,0,166,-4,0.3402636832983246
12,0,167,3,0.21690800440896518
12,0,168,-4,0.2537694547462413
12,0,169,-4,0.20170686199882576
12,0,170,2,0.3228376526588608
12,0,171,-4,0.25981658427502186
12,0,172,-4,0.27872019100174805
12,0,173,3,0.25040618710551393
12,0,174,3,0.2343566456316014
12,0,175,2,0.19104891304200045
12,0,176,-2,0.28521349471970986
12,0,177,-4,0.2416441493849891
12,0,178,4,0.24490448232859902
12,0,179,2,0.21772794577682827
12,0,180,4,0.2185238424930497
12,0,181,1,0.28974922551424964
12,0,182,3,0.2581089826849217
