idx,k0,response_err,num,den,seconds
0,4,0.38618421259071256,0.18865359136543583,0.48850674163983887,2.184
1,2,0.626454080833869,0.3383605904488819,0.540120338905754,0.195
2,-3,0.41015281300463535,0.21238301495447032,0.5178143565531759,0.190
3,-2,0.5898254578384832,0.31700666184384496,0.5374584254222773,0.183
4,-3,0.5361636757747474,0.27708666538564397,0.5167949227169454,0.189
5,3,0.46126532965969175,0.23457752230761697,0.5085522523027722,0.189
6,0,0.5355604679007507,0.2851460405728618,0.5324254825800635,0.192
7,4,0.43905355774235166,0.21822497608595054,0.49703497953206605,0.193
8,-4,0.42603811958837334,0.20965111723423,0.4920947389327258,0.185
9,3,0.5062763140457529,0.26937987616869435,0.532080740684918,0.181
10,0,0.46494001085237724,0.2477171443453697,0.5327937767524641,0.191
11,-2,0.45705274126249795,0.2424974489470447,0.5305677595920418,0.183
12,4,0.5373525704744936,0.2661469560421454,0.4952929801882813,0.178
13,0,0.4473518262092772,0.23941984007259884,0.53519361282454,0.241
14,-1,0.5989633344057089,0.31867937558444026,0.5320515585492954,0.320
15,0,0.4674840922359601,0.24855663200830827,0.5316900321024199,0.189
16,1,0.47450547611112626,0.25431442661066966,0.5359567790343284,0.187
17,-1,0.5944639661883889,0.31835889989652033,0.5355394405783557,0.187
18,-2,0.4550793526625389,0.24024735179002968,0.5279240870507775,0.187
19,-4,0.40859892947922594,0.2031043833361985,0.4970751724559396,0.185
20,-3,0.44749655043758285,0.23858635284458946,0.5331579709637732,0.184
21,2,0.5572058675149233,0.3009465912078209,0.5400994654812403,0.186
22,1,0.5658921933148182,0.3044081975342165,0.537926129977318,0.184
23,1,0.5332547681872967,0.2860637213348551,0.536448501543225,0.185
24,0,0.5028142654963357,0.26917499216394924,0.5353368244201315,0.185
25,3,0.4531243307770023,0.23125501456898784,0.5103566479699723,0.187
26,3,0.6500666154289516,0.32844305190972983,0.505245222742294,0.192
27,1,0.6119845498716006,0.32613785850092086,0.5329184512408807,0.186
28,3,0.5309774481185549,0.27780727754166357,0.5231997677604486,0.186
29,3,0.4975814080611365,0.2570857865824232,0.5166708048521695,0.187
30,0,0.45536749163368057,0.24211235649262605,0.5316856405889264,0.205
31,2,0.5180204732831978,0.2754298507396617,0.5316968439374525,0.209
32,-2,0.4841447137228273,0.25659306584705255,0.5299924972308011,0.212
33,4,0.4008688023372016,0.20250007574488282,0.5051529941073948,0.185
34,4,0.4346737257060863,0.21808647026345826,0.5017245289192427,0.187
35,2,0.6237355159424052,0.33342845504695556,0.5345670504960373,0.190
36,-2,0.5495918490020228,0.2955991439875832,0.5378521252168265,0.186
37,1,0.6712443498728173,0.3580212478834727,0.5333694770783666,0.187
38,-2,0.5547387996462434,0.2927820768854282,0.5277836651630193,0.186
39,4,0.3499308704250861,0.17106619421493965,0.4888571105691055,0.187
40,0,0.57993099369536,0.31149219162189506,0.5371194073230083,0.184
41,0,0.487246234328307,0.2591181060230723,0.5318011464578672,0.185
42,2,0.4992667377875021,0.25999696612470535,0.5207576360421696,0.185
43,1,0.6334615610407188,0.339571209519,0.5360565350818065,0.185
44,-4,0.40121089691592404,0.20164301460191605,0.502586086649016,0.184
45,4,0.3872957133290009,0.19437228933258108,0.501870489765698,0.189
46,1,0.6238772708251861,0.3329544113348189,0.5336857534406227,0.187
47,-3,0.5108507746172272,0.2725975886717811,0.5336149071635143,0.187
